Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar;1.0;0.485;0.653;2151;2286;0;0
LZTL1_PONAB.gar;0.679;0.139;0.231;2392;14786;0;1129
A0A0S4KLB5_BODSA.gar;1.0;0.5;0.667;552;552;0;0
BBS4_HUMAN.gar;0.997;0.047;0.09;2483;49800;0;7
B3DFT2_DANRE.gar;0.914;0.149;0.256;2479;14134;0;232
H3GA39_PHYRM.gar;1.0;0.5;0.667;1047;1047;0;0
A0A096P4T0_PAPAN.gar;0.975;0.154;0.266;2081;11458;139;54
C4V6M3_NOSCE.gar;1.0;0.5;0.667;627;627;0;0
B4MJU3_DROWI.gar;1.0;0.864;0.927;2892;455;0;0
W5PKU2_SHEEP.gar;0.354;0.219;0.271;2608;9315;0;4762
V9F4S6_PHYPR.gar;1.0;0.5;0.667;1978;1978;0;0
F6S5R5_HORSE.gar;0.96;0.027;0.053;1731;63303;0;72
A0A096MMY7_PAPAN.gar;1.0;0.073;0.136;1785;22822;0;0
A8WJB5_CAEBR.gar;1.0;0.902;0.948;888;96;0;0
A0A0M9GAT6_9TRYP.gar;0.954;0.5;0.656;1973;1973;96;96
G3T822_LOXAF.gar;1.0;0.014;0.028;582;41029;0;0
G7PUF5_MACFA.gar;1.0;0.177;0.301;2405;11152;0;0
A0A096NII1_PAPAN.gar;1.0;0.066;0.124;2166;30554;0;0
B3MGG0_DROAN.gar;0.847;0.825;0.836;757;161;0;137
G3WML8_SARHA.gar;1.0;0.5;0.667;1953;1953;0;0
A0A0G4EFJ8_VITBC.gar;0.897;0.614;0.729;780;491;71;90
G7PDY7_MACFA.gar;1.0;0.011;0.022;204;17994;0;0
E1BNU6_BOVIN.gar;1.0;0.224;0.366;1739;6031;0;0
W5NG86_LEPOC.gar;0.717;0.642;0.677;3425;1910;0;1349
B4GR41_DROPE.gar;1.0;0.911;0.953;1818;178;0;0
H2T0R0_TAKRU.gar;1.0;0.509;0.675;2151;2077;0;0
I3JZ61_ORENI.gar;0.986;0.122;0.217;2242;16136;99;31
A0A067BYM3_SAPPC.gar;0.0;0.0;0.0;0;223;0;773
BBS7_MOUSE.gar;0.994;0.064;0.12;2583;37649;0;16
H2QMZ4_PANTR.gar;0.832;0.034;0.065;1123;31781;630;227
G3STK5_LOXAF.gar;1.0;0.218;0.358;1710;6135;0;0
G1KRM1_ANOCA.gar;1.0;0.124;0.221;189;1335;0;0
V4BYG1_LOTGI.gar;1.0;0.061;0.115;1506;23125;0;0
A0A078A2X5_STYLE.gar;1.0;0.5;0.667;555;555;0;0
D0MSD3_PHYIT.gar;1.0;0.97;0.985;2330;71;0;0
H3G905_PHYRM.gar;1.0;0.947;0.973;1530;86;0;0
G1QXS8_NOMLE.gar;0.961;0.902;0.931;3440;375;0;141
G3NNG6_GASAC.gar;1.0;0.273;0.429;1029;2743;0;0
W5N3D2_LEPOC.gar;1.0;0.064;0.12;216;3147;0;0
F7E5E6_ORNAN.gar;0.0;0.0;0.0;0;2154;0;2154
W2YQ45_PHYPR.gar;1.0;0.953;0.976;1354;67;0;0
G3QMT8_GORGO.gar;0.962;0.046;0.088;2401;50197;0;96
H0WSU0_OTOGA.gar;1.0;0.036;0.069;571;15299;0;0
I3MMH3_ICTTR.gar;1.0;0.009;0.018;1968;206894;1;0
G3WMP3_SARHA.gar;0.841;0.044;0.084;2293;49708;0;432
G1R9L0_NOMLE.gar;0.88;0.171;0.286;2111;10245;0;289
A8JF99_CHLRE.gar;1.0;0.595;0.746;1567;1068;0;0
D0MT71_PHYIT.gar;1.0;0.957;0.978;1547;70;0;0
A0A090L5W0_STRRB.gar;1.0;0.981;0.99;2346;45;0;0
A0A061IYK7_TRYRA.gar;1.0;0.5;0.667;1131;1131;0;0
A0A0D9R0X9_CHLSB.gar;0.37;0.049;0.087;1835;35279;0;3126
U3KGN2_FICAL.gar;0.5;0.019;0.037;2015;105002;150;2016
A4IBV8_LEIIN.gar;1.0;0.5;0.667;1782;1782;0;0
Q7PUL7_ANOGA.gar;1.0;0.952;0.975;1059;53;0;0
E1BTY2_CHICK.gar;1.0;0.447;0.618;3053;3782;0;0
B3RIN7_TRIAD.gar;1.0;0.153;0.265;624;3448;0;0
G1PTC0_MYOLU.gar;1.0;0.055;0.104;567;9717;0;0
W2ZMB5_PHYPR.gar;1.0;0.969;0.984;2247;73;0;0
H2QDI7_PANTR.gar;0.853;0.151;0.257;2052;11560;0;353
G3W4X1_SARHA.gar;0.948;0.295;0.45;1690;4038;0;92
G1PDK6_MYOLU.gar;1.0;0.224;0.366;1713;5943;0;0
K1P4M1_CRAGI.gar;1.0;0.113;0.203;1500;11817;0;0
F2TWK2_SALR5.gar;1.0;0.384;0.555;1737;2781;0;0
F7B2E3_MACMU.gar;1.0;0.083;0.153;891;9800;0;0
A0A096NE45_PAPAN.gar;1.0;0.5;0.667;1962;1962;0;0
F4PEA0_BATDJ.gar;1.0;0.6;0.75;1740;1161;0;0
U6LV11_9EIME.gar;1.0;0.486;0.654;609;644;0;0
B3MEQ1_DROAN.gar;0.61;0.465;0.528;1538;1766;2072;982
H0Y2B1_OTOGA.gar;1.0;0.5;0.667;1962;1962;0;0
G3WC39_SARHA.gar;1.0;0.5;0.667;2088;2088;0;0
