File;%_similarity;Len_prot
augustus_I3KYQ8_ORENI_3.fasta;43.01;637
augustus_F2TWK2_SALR5_55.fasta;19.31;554
augustus_T1IBT8_RHOPR_13.fasta;77.13;564
augustus_W5LDX9_ASTMX_13.fasta;41.4;186
augustus_T1J508_STRMM_4.fasta;75.82;455
augustus_A0A0G2JUD0_RAT_9.fasta;74.59;795
augustus_B4KQ20_DROMO_12.fasta;76.86;484
augustus_A0A0G4G617_VITBC_2.fasta;76.86;0
augustus_C5KS16_PERM5_51.fasta;76.86;0
augustus_A0A139WKF1_TRICA_8.fasta;50.47;1068
augustus_F6YCR4_HORSE_8.fasta;86.98;653
augustus_K7J2U6_NASVI_11.fasta;91.62;513
augustus_E0VEZ1_PEDHC_19.fasta;82.88;555
augustus_Q3SCX0_PARTE_2.fasta;84.05;326
augustus_A0A087X8G3_POEFO_31.fasta;84.05;0
augustus_W5JX09_ANODA_5.fasta;31.02;735
augustus_H9GBY2_ANOCA_21.fasta;8.32;877
augustus_J9I0G0_9SPIT_7.fasta;64.4;882
augustus_B4H6C3_DROPE_12.fasta;97.31;483
augustus_F6UN54_ORNAN_8.fasta;74.7;739
augustus_F2TYE0_SALR5_16.fasta;3.45;406
augustus_H9IX60_BOMMO_11.fasta;51.81;276
augustus_G3WV05_SARHA_15.fasta;69.27;537
augustus_W5MZI7_LEPOC_5.fasta;82.38;193
augustus_A0A067BQG6_SAPPC_4.fasta;4.86;453
augustus_A9UQE8_MONBE_33.fasta;80.56;1507
augustus_G0NG53_CAEBE_15.fasta;91.86;725
augustus_V4B2U3_LOTGI_15.fasta;93.41;713
augustus_H0WTY6_OTOGA_17.fasta;60.67;600
augustus_F6U8K2_HORSE_14.fasta;88.76;516
augustus_H2PT77_PONAB_10.fasta;86.98;653
augustus_A0A077ZY59_STYLE_1.fasta;82.05;752
augustus_A0A0K0J7N8_BRUMA_23.fasta;93.0;1243
augustus_A0A0G4EZB0_VITBC_50.fasta;93.0;0
augustus_J9J485_9SPIT_4.fasta;66.67;117
augustus_A0A0Q9XI51_DROMO_6.fasta;77.62;353
augustus_K1QT73_CRAGI_9.fasta;68.65;185
augustus_B4HV21_DROSE_18.fasta;93.88;605
augustus_A0A0L0TEE4_ALLMA_9.fasta;77.51;627
augustus_A0A0W8BYL7_PHYNI_21.fasta;80.99;1068
augustus_F1Q1T8_CANLF_26.fasta;5.24;744
augustus_G1U012_RABIT_5.fasta;27.73;613
augustus_E1BTY2_CHICK_26.fasta;27.73;0
augustus_W5NCP5_LEPOC_28.fasta;84.91;497
augustus_A0A0L0DY00_THETB_5.fasta;79.36;654
augustus_K7JBD5_NASVI_12.fasta;8.52;176
augustus_G1RWH4_NOMLE_2.fasta;82.46;570
augustus_A0A0N0P2P9_LEPSE_9.fasta;89.0;418
augustus_H9GBY2_ANOCA_149.fasta;25.99;2005
augustus_F6PTH6_XENTR_20.fasta;3.37;2344
augustus_A7SJU1_NEMVE_14.fasta;12.78;485
augustus_A0A0N1PED7_LEPSE_4.fasta;95.92;490
augustus_A0A0L0HGZ5_SPIPN_2.fasta;77.46;559
augustus_G1LSZ3_AILME_14.fasta;71.15;208
augustus_F1SNZ1_PIG_3.fasta;58.86;299
augustus_A0A0G4EJP9_VITBC_1.fasta;58.86;0
augustus_A0A0G4F9D8_VITBC_52.fasta;58.86;0
