File;%_similarity;Len_prot
G3VHQ8_SARHA_1.fasta;3.06;6625
H2ZFB3_CIOSA_1.fasta;9.98;401
F6WBK6_CIOIN_3.fasta;5.58;1650
T1L0Y2_TETUR_1.fasta;80.47;599
K1QT73_CRAGI_1.fasta;8.33;264
D2UYR4_NAEGR_1.fasta;12.2;287
A2FQ75_TRIVA_1.fasta;88.98;635
A0A087YB91_POEFO_1.fasta;21.02;1684
F7C228_XENTR_1.fasta;8.07;2180
I3JZ61_ORENI_1.fasta;7.37;2848
B3RJ12_TRIAD_1.fasta;19.93;923
F6Q0A8_MACMU_1.fasta;2.28;16739
H3GVL7_PHYRM_1.fasta;86.1;842
CH037_RAT_1.fasta;2.3;6123
H3F5B6_PRIPA_2.fasta;5.4;704
B8C2P1_THAPS_1.fasta;64.35;634
H3CFW0_TETNG_1.fasta;10.3;2408
T1JMT6_STRMM_1.fasta;30.97;746
M3Y2I1_MUSPF_1.fasta;0.51;136495
I3NAS8_ICTTR_1.fasta;3.25;4036
A0A061IYN2_TRYRA_1.fasta;88.86;889
W5KI70_ASTMX_2.fasta;8.18;2054
D0MZ16_PHYIT_1.fasta;41.73;877
A8XCI7_CAEBR_1.fasta;37.1;1213
A8Y3D5_CAEBR_2.fasta;14.14;870
B3RW68_TRIAD_2.fasta;25.99;1216
M3ZTR9_XIPMA_1.fasta;1.63;30327
G3SS75_LOXAF_1.fasta;1.43;9142
A0A024TA76_9STRA_3.fasta;10.51;514
F1M285_RAT_1.fasta;0.74;56799
F6PJY2_HORSE_1.fasta;4.46;4645
I3MKN1_ICTTR_2.fasta;5.68;1126
A0A0W8CRE0_PHYNI_1.fasta;47.01;787
G3SKE1_GORGO_2.fasta;6.22;2492
G1R2E6_NOMLE_2.fasta;2.58;5267
J9KWP6_ACYPI_1.fasta;22.43;1101
G1LFS2_AILME_1.fasta;0.51;100646
W5PLE6_SHEEP_1.fasta;4.86;1317
F6UML6_ORNAN_1.fasta;83.7;767
Q9VPP9_DROME_1.fasta;63.2;701
W2YN75_PHYPR_1.fasta;22.81;881
H3DHP5_TETNG_2.fasta;12.4;371
A4HN90_LEIBR_1.fasta;86.0;693
W5JQZ5_ANODA_1.fasta;17.82;578
A7S5W5_NEMVE_1.fasta;62.58;930
V9F6J5_PHYPR_1.fasta;7.89;862
A8XRG6_CAEBR_1.fasta;38.19;1249
H2Y3Y0_CIOSA_1.fasta;17.32;410
B7Q560_IXOSC_2.fasta;5.63;5169
I3KYQ8_ORENI_1.fasta;87.5;728
K1QDK8_CRAGI_2.fasta;18.87;1781
F6UBH2_MONDO_2.fasta;5.81;2514
W6KMB3_9TRYP_1.fasta;10.68;824
S9U312_9TRYP_1.fasta;82.12;548
G3SZ68_LOXAF_1.fasta;3.5;10580
A0A0M9G8H0_9TRYP_1.fasta;90.34;1004
A0A067R087_ZOONE_1.fasta;9.4;1468
I3JZ61_ORENI_3.fasta;7.3;1712
K7J1K7_NASVI_1.fasta;14.74;726
B4M537_DROVI_1.fasta;30.33;699
ARL6_DANRE_1.fasta;4.64;1013
K7IMU7_NASVI_1.fasta;65.77;710
E7F9Q9_DANRE_1.fasta;2.3;25130
F7IFY6_CALJA_1.fasta;3.67;12025
H2LGU6_ORYLA_2.fasta;1.69;6166
F7G484_MACMU_1.fasta;2.13;7232
K7GB43_PELSI_1.fasta;0.44;165698
J9JNX2_ACYPI_2.fasta;11.93;1274
H2V5Z2_TAKRU_1.fasta;9.94;3784
M3XU97_MUSPF_1.fasta;1.18;11568
W5LRM0_ASTMX_1.fasta;13.14;1012
W4YQE9_STRPU_1.fasta;10.94;2459
G3W779_SARHA_1.fasta;2.42;15218
W5JX09_ANODA_1.fasta;25.31;885
T0Q4Q9_9STRA_2.fasta;1.9;422
G3QMT8_GORGO_1.fasta;1.91;16669
G3WC39_SARHA_1.fasta;93.79;741
F6SS62_MONDO_1.fasta;2.96;3006
A0A0L0HHW9_SPIPN_1.fasta;5.25;609
G3S2X3_GORGO_1.fasta;59.88;1129
W5JPA7_ANODA_2.fasta;14.47;788
A0A0S4IYJ2_BODSA_1.fasta;90.16;965
F1SKJ7_PIG_1.fasta;1.82;6972
A2E557_TRIVA_1.fasta;86.13;584
H0V1I4_CAVPO_1.fasta;5.11;9346
A8Y3D5_CAEBR_1.fasta;9.69;3376
A0A0D9S9R9_CHLSB_1.fasta;88.86;799
Q29MT0_DROPS_1.fasta;20.97;1345
Q17MR4_AEDAE_1.fasta;26.78;941
S9UUW0_9TRYP_1.fasta;80.21;480
H9GKS6_ANOCA_1.fasta;5.34;3204
B4MJU3_DROWI_1.fasta;52.31;1235
V5B464_TRYCR_1.fasta;14.57;741
E9G067_DAPPU_1.fasta;15.83;537
G1KJQ1_ANOCA_1.fasta;32.6;2037
H9GC07_ANOCA_1.fasta;4.03;8890
