File;%_similarity;Len_prot
B4MV93_DROWI_3.fasta;13.75;611
G3VHQ8_SARHA_1.fasta;2.72;8044
A0A0N1PFT7_LEPSE_4.fasta;7.45;953
G1LAF1_AILME_2.fasta;6.13;2302
H2ZFB3_CIOSA_1.fasta;14.5;200
F2U9J6_SALR5_4.fasta;6.12;1339
F6WBK6_CIOIN_3.fasta;5.13;1909
T1L0Y2_TETUR_1.fasta;10.65;770
BBS4_CAEEL_5.fasta;7.48;468
K1QT73_CRAGI_1.fasta;9.95;392
A7RRK9_NEMVE_2.fasta;7.68;690
K7F525_PELSI_3.fasta;5.89;1852
F0Y6H0_AURAN_3.fasta;9.08;903
D2UYR4_NAEGR_1.fasta;5.95;739
A2FQ75_TRIVA_1.fasta;12.26;1003
A0A087YB91_POEFO_1.fasta;13.15;1650
F2UKV5_SALR5_2.fasta;3.87;775
A4IDK2_LEIIN_3.fasta;10.22;499
F7C228_XENTR_1.fasta;5.66;3020
A4HH17_LEIBR_2.fasta;7.58;660
F6V8F4_CIOIN_2.fasta;4.14;1472
I3JZ61_ORENI_1.fasta;5.45;4070
T1J4V7_STRMM_3.fasta;5.13;468
B3RJ12_TRIAD_1.fasta;27.41;1160
F6Q0A8_MACMU_1.fasta;2.25;16928
CH037_RAT_1.fasta;2.43;6203
I3KSH0_ORENI_2.fasta;14.77;643
H3F5B6_PRIPA_2.fasta;20.61;859
A8HY05_CHLRE_2.fasta;3.5;1257
B8C2P1_THAPS_1.fasta;8.6;1197
T1FT46_HELRO_3.fasta;14.23;942
H3CFW0_TETNG_1.fasta;9.41;2635
A0A0W8CGX9_PHYNI_3.fasta;7.27;564
E9HLR1_DAPPU_3.fasta;6.51;1076
T1JMT6_STRMM_1.fasta;18.82;765
M3Y2I1_MUSPF_1.fasta;0.5;140599
I3NAS8_ICTTR_1.fasta;3.01;4025
A0A061IYN2_TRYRA_1.fasta;15.55;1048
A9UQE8_MONBE_6.fasta;0.5;1407
W5KI70_ASTMX_2.fasta;8.08;2055
D0MZ16_PHYIT_1.fasta;15.69;2345
A8XCI7_CAEBR_1.fasta;13.59;1302
G1LHM7_AILME_2.fasta;11.36;792
B4GR41_DROPE_2.fasta;7.72;609
A8Y3D5_CAEBR_2.fasta;14.47;3372
B3RW68_TRIAD_2.fasta;10.73;1249
M3ZTR9_XIPMA_1.fasta;1.58;30218
G3SS75_LOXAF_1.fasta;1.12;11645
F1M285_RAT_1.fasta;0.79;54621
A0A067R087_ZOONE_2.fasta;5.87;1277
F6PJY2_HORSE_1.fasta;4.38;4768
I3MKN1_ICTTR_2.fasta;11.4;1035
Q9VPP9_DROME_4.fasta;9.42;552
A0A0S4IWH2_BODSA_3.fasta;10.98;665
A0A0W8CRE0_PHYNI_1.fasta;11.13;575
E2RG29_CANLF_3.fasta;3.22;714
G3SKE1_GORGO_2.fasta;6.2;2500
G1R2E6_NOMLE_2.fasta;2.72;4897
ARL6_CAEBR_3.fasta;8.97;524
D6WUJ1_TRICA_3.fasta;13.93;639
J9KWP6_ACYPI_1.fasta;22.24;1115
G1LFS2_AILME_1.fasta;0.43;131752
W5PLE6_SHEEP_1.fasta;1.43;2798
F6UML6_ORNAN_1.fasta;5.52;2572
V4BDA4_LOTGI_3.fasta;7.99;1014
Q9VPP9_DROME_1.fasta;7.19;626
H2YQF5_CIOSA_1.fasta;5.0;2078
B4IDB2_DROSE_3.fasta;15.01;1126
