Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar;1.0;0.485;0.653;2151;2286;0;0
LZTL1_PONAB.gar;0.956;0.185;0.31;3367;14786;0;154
A0A0S4KLB5_BODSA.gar;1.0;0.5;0.667;552;552;0;0
BBS4_HUMAN.gar;0.984;0.047;0.09;2451;49800;0;39
B3DFT2_DANRE.gar;0.942;0.153;0.263;2555;14134;0;156
H3GA39_PHYRM.gar;0.0;0.0;0.0;0;0;1047;1047
A0A096P4T0_PAPAN.gar;0.977;0.152;0.263;2086;11597;0;49
C4V6M3_NOSCE.gar;1.0;0.5;0.667;627;627;0;0
B4MJU3_DROWI.gar;1.0;0.864;0.927;2892;455;0;0
W5PKU2_SHEEP.gar;0.477;0.274;0.348;3519;9315;0;3851
V9F4S6_PHYPR.gar;0.0;0.0;0.0;0;0;1978;1978
F6S5R5_HORSE.gar;1.0;0.028;0.054;1803;63303;0;0
A0A096MMY7_PAPAN.gar;1.0;0.073;0.136;1785;22822;0;0
A8WJB5_CAEBR.gar;1.0;0.902;0.948;888;96;0;0
A0A0M9GAT6_9TRYP.gar;1.0;0.5;0.667;2068;2068;1;1
G3T822_LOXAF.gar;1.0;0.014;0.028;582;41029;0;0
G7PUF5_MACFA.gar;1.0;0.177;0.301;2405;11152;0;0
A0A096NII1_PAPAN.gar;1.0;0.066;0.124;2166;30554;0;0
B3MGG0_DROAN.gar;0.932;0.838;0.883;833;161;0;61
G3WML8_SARHA.gar;1.0;0.5;0.667;1953;1953;0;0
A0A0G4EFJ8_VITBC.gar;0.417;0.793;0.547;363;95;467;507
G7PDY7_MACFA.gar;1.0;0.011;0.022;204;17994;0;0
E1BNU6_BOVIN.gar;1.0;0.224;0.366;1739;6031;0;0
W5NG86_LEPOC.gar;0.741;0.649;0.692;3536;1910;0;1238
B4GR41_DROPE.gar;1.0;0.911;0.953;1818;178;0;0
H2T0R0_TAKRU.gar;1.0;0.509;0.675;2151;2077;0;0
I3JZ61_ORENI.gar;0.981;0.123;0.219;2229;15958;277;44
A0A067BYM3_SAPPC.gar;0.0;0.0;0.0;0;87;136;773
BBS7_MOUSE.gar;0.979;0.063;0.118;2544;37648;1;55
H2QMZ4_PANTR.gar;0.832;0.034;0.065;1123;31801;610;227
G3STK5_LOXAF.gar;0.985;0.215;0.353;1685;6135;0;25
G1KRM1_ANOCA.gar;0.0;0.0;0.0;0;0;1335;189
V4BYG1_LOTGI.gar;1.0;0.061;0.115;1506;23125;0;0
A0A078A2X5_STYLE.gar;0.0;0.0;0.0;0;555;0;555
D0MSD3_PHYIT.gar;1.0;0.97;0.985;2330;71;0;0
H3G905_PHYRM.gar;0.069;1.0;0.129;105;0;86;1425
G1QXS8_NOMLE.gar;0.834;0.888;0.86;2986;375;0;595
