Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
D0N5X0_PHYIT.gar;1.0;0.5;0.667;1047;1047;0;0
BBS1_HUMAN.gar;0.859;0.13;0.226;2941;19596;0;482
W5PYR9_SHEEP.gar;0.718;0.029;0.056;2916;97011;0;1147
A4I4C4_LEIIN.gar;1.0;0.5;0.667;2568;2568;0;0
A0A0D9S9I9_CHLSB.gar;0.0;0.0;0.0;0;1962;0;1962
B3M138_DROAN.gar;0.0;0.0;0.0;0;214;0;1155
LZTL1_HUMAN.gar;0.0;0.0;0.0;0;14778;0;4073
A0A077ZNG4_STYLE.gar;0.0;0.0;0.0;0;29;0;1539
K7G526_PELSI.gar;0.0;0.0;0.0;0;249462;0;3878
A0A096MMY7_PAPAN.gar;0.0;0.0;0.0;0;22822;0;1785
B4QVM9_DROSI.gar;0.0;0.0;0.0;0;252;0;2599
H2NBL0_PONAB.gar;0.0;0.0;0.0;0;1002;0;207
Q7QJD7_ANOGA.gar;0.0;0.0;0.0;0;328;0;1815
D2HVB4_AILME.gar;0.0;0.0;0.0;0;19934;0;621
D0MSD3_PHYIT.gar;0.0;0.0;0.0;0;71;0;2330
V9EXZ9_PHYPR.gar;0.0;0.0;0.0;0;73;0;2391
G3W852_SARHA.gar;0.0;0.0;0.0;0;50448;0;2169
B4HN35_DROSE.gar;0.0;0.0;0.0;0;2232;0;1461
G3QXK4_GORGO.gar;0.0;0.0;0.0;0;255222;0;2599
M3ZUZ2_XIPMA.gar;0.0;0.0;0.0;0;7380;0;3400
BBS2_DANRE.gar;0.0;0.0;0.0;0;12338;0;2577
A0A096NII1_PAPAN.gar;0.0;0.0;0.0;0;30554;0;2166
I3JUU0_ORENI.gar;0.0;0.0;0.0;0;636;0;1704
D0NEL4_PHYIT.gar;0.0;0.0;0.0;0;67;0;567
Q16XJ9_AEDAE.gar;0.0;0.0;0.0;0;24844;0;2226
H3CW16_TETNG.gar;0.0;0.0;0.0;0;4709;0;1581
G1SF71_RABIT.gar;0.0;0.0;0.0;0;105308;0;2906
F7AEK0_CALJA.gar;0.0;0.0;0.0;0;11263;0;658
K7FH00_PELSI.gar;0.0;0.0;0.0;0;34078;0;3858
J9K409_ACYPI.gar;0.0;0.0;0.0;0;11397;0;2011
F4PDD1_BATDJ.gar;0.0;0.0;0.0;0;322;0;567
I3LB57_PIG.gar;0.0;0.0;0.0;0;2145;0;2145
G1TLB3_RABIT.gar;0.0;0.0;0.0;0;35817;0;1044
A0A0S4JJZ6_BODSA.gar;0.0;0.0;0.0;0;2157;0;2157
L1IPS2_GUITH.gar;0.0;0.0;0.0;0;148;0;812
H0WSU0_OTOGA.gar;0.0;0.0;0.0;0;15299;0;571
F1Q6W8_DANRE.gar;0.0;0.0;0.0;0;15775;0;2997
H2Y3Y0_CIOSA.gar;0.0;0.0;0.0;0;1445;0;650
G4VC35_SCHMA.gar;0.0;0.0;0.0;0;1156;0;1156
G1TGM5_RABIT.gar;0.0;0.0;0.0;0;24484;0;920
H2QQ46_PANTR.gar;0.0;0.0;0.0;0;11759;0;3433
W5L586_ASTMX.gar;0.0;0.0;0.0;0;3991;0;2530
BBS4_CAEEL.gar;0.0;0.0;0.0;0;1235;0;1389
G0NR21_CAEBE.gar;0.0;0.0;0.0;0;914;0;1881
