Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar_cds;0.961;1.0;0.98;2067;0;2286;84
LZTL1_PONAB.gar_cds;0.256;0.997;0.407;900;3;14783;2621
A0A0S4KLB5_BODSA.gar_cds;1.0;0.5;0.667;552;552;0;0
BBS4_HUMAN.gar_cds;0.383;0.437;0.408;954;1231;48569;1536
B3DFT2_DANRE.gar_cds;0.663;1.0;0.797;1797;0;14134;914
H3GA39_PHYRM.gar_cds;1.0;0.5;0.667;1047;1047;0;0
A0A096P4T0_PAPAN.gar_cds;0.409;0.7;0.516;873;374;11223;1262
C4V6M3_NOSCE.gar_cds;0.0;0.0;0.0;0;627;0;627
B4MJU3_DROWI.gar_exon;0.95;1.0;0.974;2747;0;455;145
W5PKU2_SHEEP.gar_cds;0.2;1.0;0.333;1476;0;9315;5894
V9F4S6_PHYPR.gar_exon;1.0;0.5;0.667;1978;1978;0;0
F6S5R5_HORSE.gar_cds;0.785;0.53;0.633;1416;1256;62047;387
A0A096MMY7_PAPAN.gar_cds;0.937;0.953;0.945;1673;82;22740;112
A8WJB5_CAEBR.gar_cds;0.936;1.0;0.967;831;0;96;57
A0A0M9GAT6_9TRYP.gar_cds;0.86;0.5;0.632;1779;1779;290;290
G3T822_LOXAF.gar_cds;0.845;1.0;0.916;492;0;41029;90
G7PUF5_MACFA.gar_cds;0.131;0.247;0.171;316;962;10190;2089
A0A096NII1_PAPAN.gar_cds;0.827;0.992;0.902;1792;14;30540;374
B3MGG0_DROAN.gar_exon;0.607;0.933;0.735;543;39;122;351
G3WML8_SARHA.gar_cds;0.995;0.5;0.666;1944;1944;9;9
A0A0G4EFJ8_VITBC.gar_cds;0.54;0.545;0.542;470;393;169;400
G7PDY7_MACFA.gar_cds;0.069;1.0;0.129;14;0;17994;190
E1BNU6_BOVIN.gar_cds;0.0;0.0;0.0;0;0;6031;1739
W5NG86_LEPOC.gar_cds;0.322;1.0;0.487;1535;0;1910;3239
B4GR41_DROPE.gar_cds;1.0;1.0;1.0;1818;0;178;0
H2T0R0_TAKRU.gar_cds;0.455;0.55;0.498;978;801;1276;1173
I3JZ61_ORENI.gar_cds;0.835;0.675;0.747;1898;912;15323;375
A0A067BYM3_SAPPC.gar_exon;0.735;0.743;0.739;568;196;27;205
BBS7_MOUSE.gar_cds;0.242;0.33;0.279;630;1278;36371;1969
H2QMZ4_PANTR.gar_cds;0.0;0.0;0.0;0;571;31840;1350
G3STK5_LOXAF.gar_cds;0.679;0.354;0.465;1161;2122;4013;549
G1KRM1_ANOCA.gar_cds;1.0;1.0;1.0;189;0;1335;0
V4BYG1_LOTGI.gar_cds;0.95;0.885;0.916;1431;186;22939;75
A0A078A2X5_STYLE.gar_cds;1.0;0.5;0.667;555;555;0;0
D0MSD3_PHYIT.gar_exon;0.943;1.0;0.971;2197;0;71;133
H3G905_PHYRM.gar_cds;1.0;0.947;0.973;1530;86;0;0
G1QXS8_NOMLE.gar_cds;0.511;1.0;0.676;1831;0;375;1750
G3NNG6_GASAC.gar_cds;0.795;1.0;0.886;818;0;2743;211
W5N3D2_LEPOC.gar_cds;1.0;1.0;1.0;216;0;3147;0
F7E5E6_ORNAN.gar_cds;0.507;0.5;0.503;1092;1092;1062;1062
W2YQ45_PHYPR.gar_exon;1.0;1.0;1.0;1354;0;67;0
G3QMT8_GORGO.gar_cds;0.189;0.208;0.198;471;1792;48405;2026
H0WSU0_OTOGA.gar_cds;0.895;0.802;0.846;511;126;15173;60
I3MMH3_ICTTR.gar_cds;0.595;0.008;0.016;1170;142550;64345;798
G3WMP3_SARHA.gar_cds;0.588;1.0;0.741;1601;0;49708;1124
G1R9L0_NOMLE.gar_cds;0.114;0.169;0.136;274;1349;8896;2126
A8JF99_CHLRE.gar_cds;0.347;0.919;0.504;543;48;1020;1024
D0MT71_PHYIT.gar_cds;1.0;1.0;1.0;1547;0;70;0
A0A090L5W0_STRRB.gar_cds;0.0;0.0;0.0;0;45;0;2346
A0A061IYK7_TRYRA.gar_cds;1.0;0.5;0.667;1131;1131;0;0
A0A0D9R0X9_CHLSB.gar_cds;0.088;1.0;0.162;437;0;35279;4524
U3KGN2_FICAL.gar_cds;0.371;0.05;0.088;1495;28499;76653;2536
A4IBV8_LEIIN.gar_cds;1.0;0.5;0.667;1782;1782;0;0
Q7PUL7_ANOGA.gar_cds;0.977;1.0;0.988;1035;0;53;24
E1BTY2_CHICK.gar_cds;0.362;0.932;0.521;1105;80;3702;1948
B3RIN7_TRIAD.gar_exon;0.571;1.0;0.727;356;0;3448;268
G1PTC0_MYOLU.gar_cds;0.824;1.0;0.904;467;0;9717;100
W2ZMB5_PHYPR.gar_cds;1.0;1.0;1.0;2247;0;73;0
H2QDI7_PANTR.gar_cds;0.068;0.128;0.089;164;1117;10443;2241
G3W4X1_SARHA.gar_cds;0.839;1.0;0.912;1495;0;4038;287
G1PDK6_MYOLU.gar_cds;1.0;1.0;1.0;1713;0;5943;0
K1P4M1_CRAGI.gar_cds;1.0;1.0;1.0;1500;0;11817;0
F2TWK2_SALR5.gar_exon;0.795;0.394;0.527;1381;2120;661;356
F7B2E3_MACMU.gar_cds;0.073;0.142;0.096;65;392;9408;826
A0A096NE45_PAPAN.gar_cds;1.0;0.5;0.667;1962;1962;0;0
F4PEA0_BATDJ.gar_cds;0.984;0.888;0.934;1713;215;946;27
U6LV11_9EIME.gar_cds;0.0;0.0;0.0;0;644;0;609
B3MEQ1_DROAN.gar_exon;0.612;0.985;0.755;1543;24;3814;977
H0Y2B1_OTOGA.gar_cds;1.0;0.5;0.667;1962;1962;0;0
G3WC39_SARHA.gar_cds;1.0;0.5;0.667;2088;2088;0;0
A7SR08_NEMVE.gar_cds;0.0;0.0;0.0;0;7648;0;555
M3YBL1_MUSPF.gar_cds;0.207;0.016;0.03;243;14758;3055;933
F1Q6W8_DANRE.gar_cds;0.267;0.385;0.315;801;1281;14494;2196
W5P6M8_SHEEP.gar_cds;0.535;1.0;0.697;558;0;20807;485
