Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar;1.0;0.485;0.653;2151;2286;0;0
LZTL1_PONAB.gar;0.684;0.14;0.232;2408;14786;0;1113
A0A0S4KLB5_BODSA.gar;1.0;0.5;0.667;552;552;0;0
BBS4_HUMAN.gar;0.987;0.047;0.09;2457;49800;0;33
B3DFT2_DANRE.gar;0.929;0.151;0.26;2518;14134;0;193
H3GA39_PHYRM.gar;0.0;0.0;0.0;0;0;1047;1047
A0A096P4T0_PAPAN.gar;1.0;0.155;0.268;2135;11597;0;0
C4V6M3_NOSCE.gar;0.0;0.0;0.0;0;0;627;627
B4MJU3_DROWI.gar;1.0;0.864;0.927;2892;455;0;0
W5PKU2_SHEEP.gar;0.437;0.257;0.324;3223;9315;0;4147
V9F4S6_PHYPR.gar;0.0;0.0;0.0;0;0;1978;1978
F6S5R5_HORSE.gar;1.0;0.028;0.054;1803;63303;0;0
A0A096MMY7_PAPAN.gar;1.0;0.073;0.136;1785;22822;0;0
A8WJB5_CAEBR.gar;1.0;0.902;0.948;888;96;0;0
A0A0M9GAT6_9TRYP.gar;0.916;0.5;0.647;1895;1895;174;174
G3T822_LOXAF.gar;1.0;0.014;0.028;582;41029;0;0
G7PUF5_MACFA.gar;1.0;0.177;0.301;2405;11152;0;0
A0A096NII1_PAPAN.gar;1.0;0.066;0.124;2166;30554;0;0
B3MGG0_DROAN.gar;0.999;0.847;0.917;893;161;0;1
G3WML8_SARHA.gar;1.0;0.5;0.667;1953;1953;0;0
A0A0G4EFJ8_VITBC.gar;0.221;1.0;0.362;192;0;562;678
G7PDY7_MACFA.gar;1.0;0.011;0.022;204;17993;1;0
E1BNU6_BOVIN.gar;1.0;0.224;0.366;1739;6031;0;0
W5NG86_LEPOC.gar;0.717;0.642;0.677;3425;1910;0;1349
B4GR41_DROPE.gar;1.0;0.911;0.953;1818;178;0;0
H2T0R0_TAKRU.gar;1.0;0.509;0.675;2151;2077;0;0
I3JZ61_ORENI.gar;0.984;0.123;0.219;2236;15889;346;37
A0A067BYM3_SAPPC.gar;0.0;0.0;0.0;0;223;0;773
BBS7_MOUSE.gar;0.98;0.063;0.118;2547;37648;1;52
H2QMZ4_PANTR.gar;0.832;0.034;0.065;1123;31778;633;227
G3STK5_LOXAF.gar;1.0;0.218;0.358;1710;6135;0;0
G1KRM1_ANOCA.gar;0.0;0.0;0.0;0;1335;0;189
V4BYG1_LOTGI.gar;1.0;0.061;0.115;1506;23125;0;0
A0A078A2X5_STYLE.gar;1.0;0.5;0.667;555;555;0;0
D0MSD3_PHYIT.gar;1.0;0.97;0.985;2330;71;0;0
H3G905_PHYRM.gar;0.062;1.0;0.117;95;0;86;1435
G1QXS8_NOMLE.gar;0.961;0.902;0.931;3443;375;0;138
G3NNG6_GASAC.gar;1.0;0.273;0.429;1029;2743;0;0
W5N3D2_LEPOC.gar;1.0;0.064;0.12;216;3147;0;0
F7E5E6_ORNAN.gar;1.0;0.5;0.667;2154;2154;0;0
W2YQ45_PHYPR.gar;0.0;0.0;0.0;0;0;67;1354
G3QMT8_GORGO.gar;0.944;0.045;0.086;2357;50197;0;140
H0WSU0_OTOGA.gar;1.0;0.036;0.069;571;15299;0;0
I3MMH3_ICTTR.gar;1.0;0.009;0.018;1968;206895;0;0
G3WMP3_SARHA.gar;0.786;0.041;0.078;2141;49708;0;584
G1R9L0_NOMLE.gar;0.862;0.169;0.283;2069;10192;53;331
A8JF99_CHLRE.gar;0.949;0.582;0.722;1487;1068;0;80
D0MT71_PHYIT.gar;0.0;0.0;0.0;0;0;70;1547
A0A090L5W0_STRRB.gar;1.0;0.981;0.99;2346;45;0;0
A0A061IYK7_TRYRA.gar;1.0;0.5;0.667;1131;1131;0;0
A0A0D9R0X9_CHLSB.gar;0.369;0.049;0.087;1830;35279;0;3131
