File;%_similarity;Len_prot
B4MV93_DROWI_3.fasta;10.11;613
G3VHQ8_SARHA_1.fasta;2.2;9955
A0A0N1PFT7_LEPSE_4.fasta;12.51;943
G1LAF1_AILME_2.fasta;6.12;2303
H2ZFB3_CIOSA_1.fasta;1.12;2134
W4XAU7_STRPU_2.fasta;11.24;5764
H3GVL7_PHYRM_2.fasta;11.37;827
F2U9J6_SALR5_4.fasta;10.11;989
W2Q7F5_PHYPN_3.fasta;6.44;1801
F6WBK6_CIOIN_3.fasta;8.21;987
A0A0G4GYZ9_VITBC_7.fasta;20.46;523
T1L0Y2_TETUR_1.fasta;11.01;763
BBS4_CAEEL_5.fasta;8.64;463
K1QT73_CRAGI_1.fasta;9.87;395
A7RRK9_NEMVE_2.fasta;9.64;747
K7F525_PELSI_3.fasta;5.59;2003
F0Y6H0_AURAN_3.fasta;9.93;1410
B4MV93_DROWI_6.fasta;9.97;592
D2UYR4_NAEGR_1.fasta;9.57;230
A2FQ75_TRIVA_1.fasta;13.95;602
A0A087YB91_POEFO_1.fasta;13.33;1605
F2UKV5_SALR5_2.fasta;18.66;2846
F7C228_XENTR_1.fasta;5.35;5253
F2UP53_SALR5_5.fasta;7.2;3040
F6V8F4_CIOIN_2.fasta;5.32;1504
I3JZ61_ORENI_1.fasta;6.69;1718
T0QH98_9STRA_4.fasta;8.92;269
Q29MT0_DROPS_7.fasta;7.81;935
B0W2W7_CULQU_5.fasta;15.72;865
H2V5Z2_TAKRU_4.fasta;13.72;809
T1J4V7_STRMM_3.fasta;6.65;556
B3RJ12_TRIAD_1.fasta;8.06;1564
A8Y3D5_CAEBR_7.fasta;2.34;769
F6Q0A8_MACMU_1.fasta;1.9;17021
H3GVL7_PHYRM_1.fasta;15.25;846
CH037_RAT_1.fasta;2.4;6217
I3KSH0_ORENI_2.fasta;13.98;644
E9HBN7_DAPPU_7.fasta;6.36;1258
Q28WS1_DROPS_3.fasta;12.67;829
T1IN54_STRMM_11.fasta;10.92;696
H3F5B6_PRIPA_2.fasta;11.28;1011
A8HYK1_CHLRE_5.fasta;4.17;2156
A8HY05_CHLRE_2.fasta;3.19;2067
B8C2P1_THAPS_1.fasta;12.76;525
T1FT46_HELRO_3.fasta;19.0;1526
G0NCM0_CAEBE_5.fasta;7.95;1924
H3CFW0_TETNG_1.fasta;3.77;2943
F7IDY9_CALJA_3.fasta;10.45;928
D8RT29_SELML_5.fasta;2.39;669
A0A0W8CGX9_PHYNI_3.fasta;3.94;1651
E9HLR1_DAPPU_3.fasta;7.26;565
T1JMT6_STRMM_1.fasta;54.5;767
M3Y2I1_MUSPF_1.fasta;0.51;136431
I3NAS8_ICTTR_1.fasta;3.11;4018
F4PEA0_BATDJ_10.fasta;6.08;592
A0A061IYN2_TRYRA_1.fasta;15.77;1040
W4Z8E6_STRPU_3.fasta;12.52;807
A9UQE8_MONBE_6.fasta;9.34;1434
W5KI70_ASTMX_2.fasta;8.22;2056
D0MZ16_PHYIT_1.fasta;26.01;1415
A8XCI7_CAEBR_1.fasta;6.73;3282
A0A0L0RX02_ALLMA_6.fasta;10.58;482
W5MWL7_LEPOC_3.fasta;5.31;791
G1LHM7_AILME_2.fasta;3.91;12861
B4GR41_DROPE_2.fasta;30.09;844
A8Y3D5_CAEBR_2.fasta;9.58;3424
A0A067C4C7_SAPPC_3.fasta;11.8;610
B3RW68_TRIAD_2.fasta;11.05;1384
A8X9X0_CAEBR_6.fasta;7.05;1305
M3ZTR9_XIPMA_1.fasta;1.58;30215
E1BR95_CHICK_2.fasta;11.86;649
A0A0S4KLB5_BODSA_7.fasta;6.51;292
G3SS75_LOXAF_1.fasta;1.13;12531
A8XRG6_CAEBR_7.fasta;6.88;843
F1M285_RAT_1.fasta;0.81;51880
A0A067R087_ZOONE_2.fasta;6.15;976
F6PJY2_HORSE_1.fasta;4.37;4892
I3MKN1_ICTTR_2.fasta;5.82;1134
Q9VPP9_DROME_4.fasta;26.77;762
W4G1M5_9STRA_4.fasta;11.29;248
A0A0S4IWH2_BODSA_3.fasta;10.74;1071
A0A0W8CRE0_PHYNI_1.fasta;6.03;597
E2RG29_CANLF_3.fasta;6.64;2259
G1R2E6_NOMLE_2.fasta;2.83;4489
ARL6_CAEBR_3.fasta;38.53;340
D6WUJ1_TRICA_3.fasta;13.77;639
J9KWP6_ACYPI_1.fasta;19.75;1109
G1LFS2_AILME_1.fasta;0.53;106736
W5PLE6_SHEEP_1.fasta;0.89;4712
F6UML6_ORNAN_1.fasta;6.74;2076
A0A0W8CFM7_PHYNI_2.fasta;12.36;623
V4BDA4_LOTGI_3.fasta;8.29;1786
Q9VPP9_DROME_1.fasta;9.39;1150
H2YQF5_CIOSA_1.fasta;3.96;1365
B4IDB2_DROSE_3.fasta;27.5;1509
W2YN75_PHYPR_1.fasta;13.81;601
B4HPG5_DROSE_4.fasta;5.03;975
H3DHP5_TETNG_2.fasta;19.98;831
F4NSL0_BATDJ_8.fasta;7.35;517
W5K9G7_ASTMX_3.fasta;5.93;2309
A0A0L0S2E7_ALLMA_2.fasta;12.39;436
W5JQZ5_ANODA_1.fasta;11.97;468
A0A0N0VDQ8_9TRYP_3.fasta;12.91;790
E3MCR4_CAERE_3.fasta;21.67;383
A7S5W5_NEMVE_1.fasta;13.43;916
H3G905_PHYRM_3.fasta;15.88;636
A0A0M9GAT6_9TRYP_2.fasta;13.55;893
T1FZ41_HELRO_2.fasta;3.53;1390
A0A0W8BYL7_PHYNI_3.fasta;12.4;1089
T1IN54_STRMM_3.fasta;14.26;975
V9F6J5_PHYPR_1.fasta;8.92;796
A2EVS0_TRIVA_7.fasta;6.98;487
A9UW13_MONBE_3.fasta;6.99;1502
T1IEA4_RHOPR_3.fasta;12.77;752
B3RPI2_TRIAD_3.fasta;11.1;1108
A8XRG6_CAEBR_1.fasta;6.03;1675
T0QH98_9STRA_5.fasta;12.78;352
H2Y3Y0_CIOSA_1.fasta;2.82;1879
A0A0L0S0V9_ALLMA_7.fasta;7.59;791
B7Q560_IXOSC_2.fasta;3.83;549
M3ZIL2_XIPMA_3.fasta;12.16;1234
W2Y705_PHYPR_6.fasta;9.0;689
T1IN54_STRMM_5.fasta;11.55;918
B3MUH4_DROAN_2.fasta;7.8;628
A0A087YNL7_POEFO_2.fasta;10.38;1570
E1BN34_BOVIN_3.fasta;15.52;754
H2T1G8_TAKRU_3.fasta;3.26;2390
T1J0I5_STRMM_4.fasta;5.6;1053
M3X7G4_FELCA_3.fasta;7.25;2220
F6WZU0_MACMU_3.fasta;6.44;2297
I3KYQ8_ORENI_1.fasta;7.48;1510
V9F0Z3_PHYPR_3.fasta;6.33;553
K1QDK8_CRAGI_2.fasta;6.58;1793
F6UBH2_MONDO_2.fasta;5.99;2469
B0W644_CULQU_3.fasta;7.57;1097
A0A087Y1G8_POEFO_4.fasta;6.82;2126
W6LGD6_9TRYP_6.fasta;8.09;1396
F6T0X5_CIOIN_2.fasta;8.57;1097
A0A158NBF3_ATTCE_4.fasta;10.19;1413
G3NNG6_GASAC_2.fasta;12.27;1320
W6KMB3_9TRYP_1.fasta;13.74;706
S9U312_9TRYP_1.fasta;87.04;517
G3SZ68_LOXAF_1.fasta;2.94;12643
F1S1T9_PIG_6.fasta;5.2;3079
A0A087YB91_POEFO_6.fasta;4.88;2723
D2VRF8_NAEGR_6.fasta;10.59;1265
G4ZE33_PHYSP_5.fasta;13.54;672
A0A0M9G8H0_9TRYP_1.fasta;11.11;954
A0A0W8BXS2_PHYNI_1.fasta;11.07;1500
A0A067R087_ZOONE_1.fasta;4.01;1496
T1FEE1_HELRO_2.fasta;6.11;2307
I3JZ61_ORENI_3.fasta;8.81;3008
G1KMJ2_ANOCA_3.fasta;4.93;2797
W6KP47_9TRYP_6.fasta;6.38;1065
K7J1K7_NASVI_1.fasta;8.82;862
A0A0M9GA52_9TRYP_7.fasta;8.97;1081
B4M537_DROVI_1.fasta;7.29;782
ARL6_DANRE_1.fasta;2.58;2016
A2EQS9_TRIVA_2.fasta;9.36;1753
H2TTM2_TAKRU_3.fasta;7.38;1532
A2E557_TRIVA_5.fasta;10.67;506
A0A139APA4_GONPR_6.fasta;4.48;714
A0A0S4IWH2_BODSA_2.fasta;7.15;615
K7IMU7_NASVI_1.fasta;10.56;1004
G0NZF3_CAEBE_7.fasta;11.02;771
E7F9Q9_DANRE_1.fasta;2.74;20319
A0A0G4G617_VITBC_1.fasta;10.53;228
A8IYF1_CHLRE_6.fasta;6.02;1645
A0A0D9QYN2_CHLSB_3.fasta;1.3;2611
F7IFY6_CALJA_1.fasta;4.1;11891
A4HSR6_LEIIN_3.fasta;47.68;583
E3LQY5_CAERE_3.fasta;38.54;947
T1IN54_STRMM_13.fasta;10.14;710
