File;%_similarity;Len_prot
augustus_Q3SCX0_PARTE_2.fasta;100.0;326
augustus_A0A0G4EJP9_VITBC_1.fasta;10.53;874
augustus_A0A0D9RQB1_CHLSB_2.fasta;13.76;785
augustus_L1IPS2_GUITH_2.fasta;12.12;231
augustus_F6QE09_CIOIN_1.fasta;9.0;489
augustus_Q4E5P7_TRYCC_2.fasta;100.0;373
augustus_IFT74_MOUSE_1.fasta;32.67;600
augustus_V4AJL1_LOTGI_1.fasta;83.15;831
augustus_A0A024TR04_9STRA_3.fasta;11.5;635
augustus_Q4E4D8_TRYCC_2.fasta;100.0;487
augustus_ARL6_CAEBR_1.fasta;100.0;190
augustus_G3N118_BOVIN_1.fasta;99.46;186
augustus_W4Z211_STRPU_1.fasta;89.02;82
augustus_A2DE41_TRIVA_4.fasta;9.39;522
augustus_Q4E2P4_TRYCC_2.fasta;100.0;373
augustus_W2Q403_PHYPN_2.fasta;100.0;723
augustus_F7AHJ9_HORSE_2.fasta;4.55;593
augustus_A0A067RJQ2_ZOONE_2.fasta;37.46;315
augustus_A0A158NPL4_ATTCE_1.fasta;100.0;655
augustus_A0BPN5_PARTE_2.fasta;49.03;567
augustus_F6X3T5_HORSE_2.fasta;17.43;878
augustus_A8IYF1_CHLRE_2.fasta;11.78;433
augustus_W5NLE0_LEPOC_1.fasta;91.76;704
augustus_A0A096NZB9_PAPAN_1.fasta;73.61;341
augustus_E3LTH5_CAERE_3.fasta;10.72;569
augustus_W4H8Z6_9STRA_5.fasta;4.19;430
augustus_W5KEJ5_ASTMX_2.fasta;13.56;413
augustus_A0A0G4GWT1_VITBC_1.fasta;6.88;538
augustus_G1SEN4_RABIT_1.fasta;89.37;207
augustus_A0A024TEN6_9STRA_1.fasta;12.74;691
augustus_M3WEE9_FELCA_1.fasta;89.25;186
augustus_B3MEQ1_DROAN_1.fasta;100.0;486
augustus_T1IP28_STRMM_3.fasta;9.2;424
augustus_R1DSD8_EMIHU_1.fasta;15.9;547
augustus_A2DWY6_TRIVA_3.fasta;9.76;461
augustus_ARL6_CAEBR_3.fasta;5.24;191
augustus_F1SGD6_PIG_1.fasta;73.44;723
augustus_M3YWA6_MUSPF_2.fasta;19.11;743
augustus_B0WXE2_CULQU_1.fasta;99.34;603
augustus_A9V1S9_MONBE_4.fasta;20.32;812
augustus_T0RDB9_9STRA_2.fasta;11.88;303
augustus_A0A0G4GWT1_VITBC_4.fasta;9.98;561
augustus_W5QAJ5_SHEEP_1.fasta;80.72;721
augustus_A0A067CLP2_SAPPC_2.fasta;100.0;349
augustus_A0A0L0C383_LUCCU_1.fasta;73.04;983
augustus_M3Z132_MUSPF_1.fasta;78.04;715
augustus_A0A0D9RAF2_CHLSB_2.fasta;73.43;858
augustus_BBS4_HUMAN_1.fasta;66.04;533
augustus_TTC8_CAEEL_1.fasta;8.33;540
augustus_I3KHB5_ORENI_1.fasta;7.74;155
augustus_A4IBV8_LEIIN_2.fasta;100.0;593
augustus_F1Q1T8_CANLF_4.fasta;59.64;731
augustus_M3ZLB9_XIPMA_1.fasta;43.91;583
augustus_A0A0L0D1H0_THETB_3.fasta;5.04;595
augustus_B3MBX5_DROAN_2.fasta;5.28;966
augustus_W4FS53_9STRA_2.fasta;53.82;615
augustus_F1S1T9_PIG_2.fasta;10.84;784
augustus_A0A096NVI3_PAPAN_1.fasta;77.54;570
augustus_U3K919_FICAL_1.fasta;89.86;572
augustus_F6Z5Q1_HORSE_2.fasta;10.65;789
augustus_V4B2U3_LOTGI_1.fasta;93.99;715
augustus_A2F554_TRIVA_3.fasta;12.54;319
augustus_B4J7X0_DROGR_1.fasta;98.99;495
augustus_H0XKK6_OTOGA_1.fasta;99.44;716
augustus_F6U8K2_HORSE_1.fasta;97.48;516
augustus_A0A024TR25_9STRA_2.fasta;7.26;730
augustus_W4FL04_9STRA_3.fasta;12.85;249
augustus_S9WLZ2_9TRYP_2.fasta;94.71;586
augustus_D2UXT8_NAEGR_2.fasta;14.44;478
augustus_H0WTY6_OTOGA_1.fasta;74.67;600
augustus_F7D8D3_MONDO_1.fasta;89.47;722
augustus_B4JSV3_DROGR_1.fasta;52.5;699
augustus_E1BTY2_CHICK_1.fasta;5.59;572
augustus_E1BHJ5_BOVIN_2.fasta;16.8;887
augustus_A0A0N1PED7_LEPSE_1.fasta;5.95;571
augustus_H3CW16_TETNG_2.fasta;69.15;564
augustus_G3T4E0_LOXAF_1.fasta;57.43;444
augustus_A0A0G4IMV6_PLABS_2.fasta;89.6;481
augustus_I3M6W3_ICTTR_1.fasta;86.55;721
augustus_V4BYG1_LOTGI_1.fasta;64.83;688
augustus_F4PDV5_BATDJ_2.fasta;7.25;524
augustus_D6WZ82_TRICA_3.fasta;5.93;590
augustus_D4A8B1_RAT_2.fasta;75.2;617
augustus_A0A158P292_ATTCE_1.fasta;25.78;834
augustus_G1T913_RABIT_1.fasta;80.23;708
augustus_V5BJR9_TRYCR_3.fasta;8.2;378
augustus_F1SMI2_PIG_1.fasta;100.0;652
augustus_FRITZ_HUMAN_3.fasta;79.47;755
augustus_W2R9D6_PHYPN_2.fasta;100.0;188
augustus_B5DUR3_DROPS_1.fasta;50.76;396
augustus_M3WUV2_FELCA_2.fasta;8.69;679
augustus_G3QWF1_GORGO_2.fasta;3.15;603
augustus_A8WJB5_CAEBR_3.fasta;11.29;381
augustus_A0A0N0P3G2_LEPSE_1.fasta;9.2;402
augustus_A0A096NII1_PAPAN_1.fasta;83.36;721
augustus_K7FH00_PELSI_1.fasta;83.52;716
augustus_A0A0G4EFJ8_VITBC_6.fasta;13.79;261
augustus_H2QDI7_PANTR_1.fasta;72.46;570
augustus_G1PE46_MYOLU_1.fasta;93.43;715
augustus_A0A0W8CGX9_PHYNI_1.fasta;16.0;200
augustus_V9ETD6_PHYPR_1.fasta;40.2;490
augustus_I3MEE1_ICTTR_1.fasta;37.02;886
augustus_A0A0W8CFM7_PHYNI_2.fasta;100.0;348
augustus_K3WPT3_PYTUL_3.fasta;88.83;725
augustus_I3NHG2_ICTTR_2.fasta;3.02;597
augustus_W2Q1R0_PHYPN_2.fasta;15.38;377
augustus_F6SCB7_MACMU_1.fasta;52.84;581
augustus_V5DUI8_TRYCR_3.fasta;6.73;609
augustus_D2CG54_TRICA_2.fasta;35.34;846
augustus_W5N3D2_LEPOC_1.fasta;75.68;74
augustus_A0A0L0CC86_LUCCU_1.fasta;21.04;599
augustus_W5K4L0_ASTMX_1.fasta;99.33;298
augustus_E0VEH7_PEDHC_2.fasta;89.54;306
augustus_A0A0K0JLB3_BRUMA_1.fasta;100.0;500
augustus_A8IYF1_CHLRE_1.fasta;87.22;407
augustus_T1IP28_STRMM_1.fasta;10.21;431
augustus_F6V3X0_CALJA_1.fasta;71.28;94
augustus_A0A078AXX6_STYLE_2.fasta;13.93;359
augustus_A0A0W8CBQ8_PHYNI_2.fasta;96.04;530
augustus_W4GJ33_9STRA_2.fasta;89.92;714
augustus_A0A0G4IPH3_PLABS_1.fasta;11.34;476
augustus_W6KIA6_9TRYP_1.fasta;9.48;601
augustus_S9W7J6_9TRYP_1.fasta;100.0;529
augustus_F6VNP5_XENTR_1.fasta;73.48;739
augustus_B3S5T1_TRIAD_1.fasta;80.16;736
augustus_W2Q7F5_PHYPN_2.fasta;96.04;530
augustus_B4LHK4_DROVI_2.fasta;94.72;606
augustus_L1JP33_GUITH_1.fasta;10.89;560
augustus_E3LTH5_CAERE_1.fasta;13.29;519
augustus_E3MCR4_CAERE_2.fasta;100.0;190
augustus_A0A067RIH6_ZOONE_1.fasta;43.52;432
augustus_W2R9D6_PHYPN_1.fasta;14.04;285
augustus_W4FS53_9STRA_1.fasta;15.53;676
augustus_E3LSA6_CAERE_3.fasta;13.36;494
augustus_Q4D092_TRYCC_2.fasta;100.0;183
augustus_T0RT93_9STRA_2.fasta;10.1;703
augustus_J9K409_ACYPI_1.fasta;5.16;446
augustus_H3DGV8_TETNG_2.fasta;9.74;575
augustus_Q0VCP5_BOVIN_1.fasta;100.0;653
augustus_M3ZSV8_XIPMA_1.fasta;11.26;728
augustus_J9JSR9_ACYPI_1.fasta;70.21;564
augustus_G3T822_LOXAF_1.fasta;77.72;202
augustus_A0A0G4GWT1_VITBC_6.fasta;3.78;529
