Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
D0N5X0_PHYIT.gar_cds;1.0;0.5;0.667;1047;1047;0;0
BBS1_HUMAN.gar_cds;0.507;0.967;0.665;1734;60;19536;1689
W5PYR9_SHEEP.gar_cds;0.383;0.88;0.534;1557;213;96798;2506
A4I4C4_LEIIN.gar_cds;1.0;0.5;0.667;2568;2568;0;0
A0A0D9S9I9_CHLSB.gar_cds;1.0;0.5;0.667;1962;1962;0;0
B3M138_DROAN.gar_cds;1.0;1.0;1.0;1155;0;214;0
LZTL1_HUMAN.gar_cds;0.03;0.106;0.047;121;1019;13759;3952
A0A077ZNG4_STYLE.gar_cds;0.855;1.0;0.922;1316;0;29;223
K7G526_PELSI.gar_cds;0.0;0.0;0.0;0;249462;0;3878
B3M138_DROAN.gar_cds;1.0;1.0;1.0;1155;0;214;0
