File;%_similarity;Len_prot
B4MV93_DROWI_3.fasta;8.11;555
G3VHQ8_SARHA_1.fasta;2.86;7209
F6WBK6_CIOIN_3.fasta;9.03;997
T1L0Y2_TETUR_1.fasta;10.97;766
K1QT73_CRAGI_1.fasta;34.0;400
K7F525_PELSI_3.fasta;9.21;1194
C4VA57_NOSCE_3.fasta;9.22;434
F0Y6H0_AURAN_3.fasta;13.44;662
D2UYR4_NAEGR_1.fasta;8.19;452
A2FQ75_TRIVA_1.fasta;14.86;599
A0A087YB91_POEFO_1.fasta;13.01;1653
F2UKV5_SALR5_2.fasta;4.34;783
F7C228_XENTR_1.fasta;5.82;2764
F6V8F4_CIOIN_2.fasta;10.44;517
I3JZ61_ORENI_1.fasta;6.45;3442
T1J4V7_STRMM_3.fasta;9.98;421
B3RJ12_TRIAD_1.fasta;15.45;1249
F6Q0A8_MACMU_1.fasta;1.9;17014
CH037_RAT_1.fasta;2.28;6194
G3STK5_LOXAF_2.fasta;6.96;2686
H3F5B6_PRIPA_2.fasta;14.5;724
A8HY05_CHLRE_2.fasta;7.57;647
B8C2P1_THAPS_1.fasta;13.52;540
H3CFW0_TETNG_1.fasta;9.42;2633
E9HLR1_DAPPU_3.fasta;8.96;469
T1JMT6_STRMM_1.fasta;19.04;751
M3Y2I1_MUSPF_1.fasta;0.51;136926
I3NAS8_ICTTR_1.fasta;3.25;4033
A0A061IYN2_TRYRA_1.fasta;15.74;1048
W5KI70_ASTMX_2.fasta;2.43;10850
D0MZ16_PHYIT_1.fasta;10.58;624
A8XCI7_CAEBR_1.fasta;13.54;820
B4GR41_DROPE_2.fasta;9.09;605
A8Y3D5_CAEBR_2.fasta;9.57;3428
B3RW68_TRIAD_2.fasta;10.78;1243
M3ZTR9_XIPMA_1.fasta;1.6;30916
G3SS75_LOXAF_1.fasta;1.17;11115
F1M285_RAT_1.fasta;0.77;55894
A0A067R087_ZOONE_2.fasta;8.57;467
F6PJY2_HORSE_1.fasta;4.46;4639
I3MKN1_ICTTR_2.fasta;9.75;944
A0A0S4IWH2_BODSA_3.fasta;16.03;624
G1R2E6_NOMLE_2.fasta;3.19;4136
ARL6_CAEBR_3.fasta;9.8;204
J9KWP6_ACYPI_1.fasta;22.12;1121
G1LFS2_AILME_1.fasta;0.41;128739
W5PLE6_SHEEP_1.fasta;1.69;2183
F6UML6_ORNAN_1.fasta;9.66;1873
A0A0W8CFM7_PHYNI_2.fasta;9.18;534
Q9VPP9_DROME_1.fasta;11.03;562
H2YQF5_CIOSA_1.fasta;7.51;1318
B4IDB2_DROSE_3.fasta;7.36;978
W2YN75_PHYPR_1.fasta;9.5;758
H3DHP5_TETNG_2.fasta;22.09;851
A4HN90_LEIBR_1.fasta;10.48;1193
W5JQZ5_ANODA_1.fasta;8.51;470
A0A0N0VDQ8_9TRYP_3.fasta;9.83;458
E3MCR4_CAERE_3.fasta;8.2;561
A7S5W5_NEMVE_1.fasta;65.39;890
A0A0M9GAT6_9TRYP_2.fasta;6.62;982
T1FZ41_HELRO_2.fasta;7.33;505
A0A0W8BYL7_PHYNI_3.fasta;9.34;1039
H3FMD9_PRIPA_2.fasta;9.55;597
T1IN54_STRMM_3.fasta;11.34;688
V9F6J5_PHYPR_1.fasta;12.38;533
A8XRG6_CAEBR_1.fasta;10.66;816
Q4D092_TRYCC_2.fasta;7.74;439
B7Q560_IXOSC_2.fasta;5.77;3729
T1IN54_STRMM_5.fasta;1.93;673
B3MUH4_DROAN_2.fasta;19.78;915
T1J0I5_STRMM_4.fasta;6.51;707
I3KYQ8_ORENI_1.fasta;7.95;1509
K1QDK8_CRAGI_2.fasta;18.6;1806
F6UBH2_MONDO_2.fasta;5.94;2508
G3NNG6_GASAC_2.fasta;17.36;1302
W6KMB3_9TRYP_1.fasta;11.82;685
S9U312_9TRYP_1.fasta;15.57;623
G3SZ68_LOXAF_1.fasta;2.38;11502
A0A0M9G8H0_9TRYP_1.fasta;7.54;1061
A0A0W8BXS2_PHYNI_1.fasta;5.03;1729
A0A067R087_ZOONE_1.fasta;4.03;1490
I3JZ61_ORENI_3.fasta;7.73;1579
K7J1K7_NASVI_1.fasta;13.29;572
B4M537_DROVI_1.fasta;12.88;528
ARL6_DANRE_1.fasta;5.61;998
A2EQS9_TRIVA_2.fasta;2.67;749
A0A0S4IWH2_BODSA_2.fasta;6.79;1164
K7IMU7_NASVI_1.fasta;65.13;717
G0NZF3_CAEBE_7.fasta;3.13;767
E7F9Q9_DANRE_1.fasta;2.29;20312
A0A0G4G617_VITBC_1.fasta;15.88;233
F7IFY6_CALJA_1.fasta;4.13;11931
A4HSR6_LEIIN_3.fasta;13.72;379
E3LQY5_CAERE_3.fasta;1.58;633
H2LGU6_ORYLA_2.fasta;7.2;1152
F7G484_MACMU_1.fasta;2.06;7246
K7GB43_PELSI_1.fasta;0.42;165954
J9JNX2_ACYPI_2.fasta;11.99;834
B4G8S5_DROPE_3.fasta;6.6;969
A0A132AMT7_SARSC_2.fasta;13.36;599
A0A0M9GA52_9TRYP_2.fasta;8.68;887
H2V5Z2_TAKRU_1.fasta;8.16;3763
A2F554_TRIVA_2.fasta;14.33;335
M3XU97_MUSPF_1.fasta;1.41;12093
W5LRM0_ASTMX_1.fasta;52.06;1235
E9GL43_DAPPU_2.fasta;10.31;766
G5AEA7_PHYSP_2.fasta;12.86;350
W4YQE9_STRPU_1.fasta;5.92;2671
G3W779_SARHA_1.fasta;2.43;15213
W5JX09_ANODA_1.fasta;12.93;518
H2T0R0_TAKRU_3.fasta;7.23;899
A9V3H9_MONBE_1.fasta;14.29;721
G3QMT8_GORGO_1.fasta;2.18;16779
G3WC39_SARHA_1.fasta;10.91;761
F6SS62_MONDO_1.fasta;2.21;7119
A0A0L0HHW9_SPIPN_1.fasta;12.54;598
G3S2X3_GORGO_1.fasta;55.0;1231
W5JPA7_ANODA_2.fasta;10.84;1172
A0A0S4IYJ2_BODSA_1.fasta;58.74;1481
F5HK34_ANOGA_2.fasta;4.91;631
H3D6A2_TETNG_2.fasta;11.55;701
F1SKJ7_PIG_1.fasta;1.72;6960
B3M8B7_DROAN_2.fasta;6.84;614
A0A158N997_ATTCE_2.fasta;14.06;1771
A2E557_TRIVA_1.fasta;13.64;638
H0V1I4_CAVPO_1.fasta;5.37;9335
A8Y3D5_CAEBR_1.fasta;13.84;838
A0A0D9S9R9_CHLSB_1.fasta;9.7;1721
Q29MT0_DROPS_1.fasta;36.37;1295
Q17MR4_AEDAE_1.fasta;56.15;903
S9UUW0_9TRYP_1.fasta;80.21;480
H9GKS6_ANOCA_1.fasta;7.26;3251
B4MJU3_DROWI_1.fasta;9.48;992
H2SZY5_TAKRU_2.fasta;3.68;706
B4KFI6_DROMO_3.fasta;7.11;577
E0VL22_PEDHC_2.fasta;14.06;441
A0A0G4EPB7_VITBC_2.fasta;3.95;683
V5B464_TRYCR_1.fasta;57.66;1032
E9G067_DAPPU_1.fasta;8.13;541
G1KJQ1_ANOCA_1.fasta;29.8;2228
H9GC07_ANOCA_1.fasta;3.92;9028
A0A096P1E7_PAPAN_2.fasta;6.07;1498
K3WUB9_PYTUL_3.fasta;9.95;603
A0A067R1E4_ZOONE_1.fasta;12.67;2722
A4HN90_LEIBR_2.fasta;8.9;708
W5JDQ4_ANODA_1.fasta;15.93;2003
D2UZG5_NAEGR_1.fasta;22.57;873
A4HX34_LEIIN_1.fasta;7.99;513
G0MY08_CAEBE_2.fasta;17.79;832
G1S9G6_NOMLE_1.fasta;10.91;1613
A2D7W2_TRIVA_2.fasta;4.39;410
Q7QJD7_ANOGA_1.fasta;19.46;997
K7IUM7_NASVI_1.fasta;22.91;1964
CH037_MOUSE_1.fasta;2.08;7596
G1LVU0_AILME_1.fasta;3.32;7477
B3MUA1_DROAN_2.fasta;21.51;1390
PTHB1_CAEEL_5.fasta;10.88;809
H2ZYI3_LATCH_1.fasta;46.68;1386
B4QJX6_DROSI_2.fasta;7.38;623
A0A0N1PFT7_LEPSE_2.fasta;10.44;958
B3SAM9_TRIAD_3.fasta;11.26;604
