File;%_similarity;Len_prot
augustus_I3KYQ8_ORENI_3.fasta;43.01;637
augustus_F2TWK2_SALR5_55.fasta;19.73;659
augustus_T1IBT8_RHOPR_13.fasta;77.13;564
augustus_W5LDX9_ASTMX_13.fasta;41.4;186
augustus_B4JDP6_DROGR_30.fasta;83.19;565
augustus_T1J508_STRMM_4.fasta;48.04;739
augustus_E9HBN7_DAPPU_20.fasta;13.11;351
augustus_A0A0G2JUD0_RAT_9.fasta;74.59;795
augustus_W2PT12_PHYPN_92.fasta;43.89;900
augustus_B4KQ20_DROMO_12.fasta;97.11;484
augustus_A0A0G4G617_VITBC_2.fasta;11.53;347
augustus_C5KS16_PERM5_51.fasta;11.53;0
augustus_E9AFP5_LEIMA_24.fasta;65.59;866
augustus_A0A139WKF1_TRICA_8.fasta;50.47;1068
augustus_F6YCR4_HORSE_8.fasta;86.98;653
augustus_K7J2U6_NASVI_11.fasta;3.87;517
augustus_E0VEZ1_PEDHC_19.fasta;81.9;558
augustus_Q3SCX0_PARTE_2.fasta;8.93;504
augustus_H2YY40_CIOSA_62.fasta;50.94;1170
augustus_D0MT71_PHYIT_51.fasta;48.01;979
augustus_F0Y7H8_AURAN_56.fasta;32.3;1972
augustus_I3KWC4_ORENI_30.fasta;32.3;0
augustus_W5JX09_ANODA_5.fasta;26.67;1035
augustus_H9GBY2_ANOCA_21.fasta;8.32;877
augustus_J9I0G0_9SPIT_7.fasta;2.25;887
augustus_B3MUA1_DROAN_30.fasta;91.22;945
augustus_B4H6C3_DROPE_12.fasta;97.31;483
augustus_F6UN54_ORNAN_8.fasta;74.7;739
augustus_F2TYE0_SALR5_16.fasta;8.37;418
augustus_H9IX60_BOMMO_11.fasta;42.82;362
augustus_T0PXD2_9STRA_53.fasta;33.69;754
augustus_G0NCM0_CAEBE_24.fasta;94.09;575
augustus_G0NR21_CAEBE_27.fasta;10.22;802
augustus_BBS1_HUMAN_43.fasta;10.22;0
augustus_A0A0N0P3E7_LEPSE_24.fasta;73.58;772
augustus_A0A024TBC5_9STRA_113.fasta;4.12;2161
augustus_H3DHP5_TETNG_36.fasta;36.11;767
augustus_K3XBX6_PYTUL_18.fasta;8.35;479
augustus_A4HKB1_LEIBR_41.fasta;72.25;1193
augustus_E9AFP5_LEIMA_33.fasta;65.59;866
augustus_G3WV05_SARHA_15.fasta;85.08;543
augustus_E0VEH7_PEDHC_46.fasta;30.34;580
augustus_W5MZI7_LEPOC_5.fasta;82.38;193
augustus_A0A067BQG6_SAPPC_4.fasta;4.86;453
augustus_X6MBP4_RETFI_65.fasta;44.82;627
augustus_Q4DFM2_TRYCC_21.fasta;73.67;771
augustus_A9UQE8_MONBE_33.fasta;5.8;1432
augustus_H3G787_PHYRM_41.fasta;10.09;436
augustus_A0A139AXF2_GONPR_32.fasta;16.64;1256
augustus_G0NG53_CAEBE_15.fasta;11.87;758
augustus_V4B2U3_LOTGI_15.fasta;93.41;713
augustus_H2XNP6_CIOIN_26.fasta;24.08;382
augustus_H0WTY6_OTOGA_17.fasta;60.67;600
augustus_F6U8K2_HORSE_14.fasta;88.76;516
augustus_T1IPN7_STRMM_30.fasta;14.8;196
augustus_B4G899_DROPE_27.fasta;60.06;646
augustus_H2PT77_PONAB_10.fasta;86.98;653
augustus_A0A077ZY59_STYLE_1.fasta;82.05;752
augustus_T1IPN7_STRMM_34.fasta;15.62;333
augustus_A0A0W8CRE0_PHYNI_61.fasta;49.29;919
augustus_B4J7X0_DROGR_41.fasta;73.69;650
augustus_A0A024TBC5_9STRA_120.fasta;4.12;2161
augustus_K3WUB9_PYTUL_55.fasta;53.48;978
augustus_A0A0K0J7N8_BRUMA_23.fasta;93.0;1243
augustus_A0A0G4EZB0_VITBC_50.fasta;93.0;0
augustus_J9J485_9SPIT_4.fasta;10.48;124
augustus_A0A0Q9XI51_DROMO_6.fasta;77.62;353
augustus_K1QT73_CRAGI_9.fasta;20.59;340
augustus_B4HV21_DROSE_18.fasta;8.7;701
augustus_A0A0L0TEE4_ALLMA_9.fasta;8.7;0
augustus_A0A0W8BYL7_PHYNI_21.fasta;9.55;1037
augustus_K3XBX6_PYTUL_20.fasta;8.35;479
augustus_F1Q1T8_CANLF_26.fasta;5.24;744
augustus_G1U012_RABIT_5.fasta;5.24;0
augustus_C5KJE9_PERM5_145.fasta;22.02;1117
augustus_E1BTY2_CHICK_26.fasta;51.92;574
augustus_W5NCP5_LEPOC_28.fasta;84.91;497
augustus_A0A0L0DY00_THETB_5.fasta;48.74;1108
augustus_W5J3R5_ANODA_30.fasta;36.65;884
augustus_K7JBD5_NASVI_12.fasta;10.26;156
augustus_G1RWH4_NOMLE_2.fasta;82.46;570
augustus_B4Q641_DROSI_42.fasta;64.83;725
augustus_A0A0N0P2P9_LEPSE_9.fasta;3.46;434
augustus_H9GBY2_ANOCA_149.fasta;25.99;2005
augustus_F6PTH6_XENTR_20.fasta;3.43;2359
augustus_A7SJU1_NEMVE_14.fasta;3.33;481
augustus_A0A0N1PED7_LEPSE_4.fasta;6.3;540
augustus_A0A0L0HGZ5_SPIPN_2.fasta;5.5;527
augustus_E9HLR1_DAPPU_80.fasta;5.5;0
augustus_G1LSZ3_AILME_14.fasta;71.15;208
augustus_B3M393_DROAN_56.fasta;58.08;1653
augustus_A0A0G4F9D8_VITBC_219.fasta;58.08;0
augustus_F1SNZ1_PIG_3.fasta;58.86;299
augustus_A0A0G4EJP9_VITBC_1.fasta;11.11;828
augustus_A9V3H9_MONBE_88.fasta;19.61;1122
augustus_A0A0G4F9D8_VITBC_52.fasta;19.61;0
augustus_L7N1T4_MYOLU_17.fasta;91.26;515
augustus_G1SII1_RABIT_10.fasta;77.46;639
augustus_L1J1T7_GUITH_76.fasta;42.84;1132
augustus_G0R2D7_ICHMG_13.fasta;10.61;179
augustus_B0X4V5_CULQU_13.fasta;34.78;506
augustus_G0NG53_CAEBE_71.fasta;60.71;1097
augustus_A0A096P1E7_PAPAN_7.fasta;42.07;706
augustus_Q7Q2M8_ANOGA_21.fasta;7.87;623
augustus_A9UQE8_MONBE_58.fasta;5.8;1432
augustus_A0A0M9FXC3_9TRYP_8.fasta;12.21;303
augustus_B4HN35_DROSE_21.fasta;87.82;509
augustus_T1JL36_STRMM_14.fasta;48.36;244
augustus_J9K409_ACYPI_14.fasta;4.78;439
augustus_T0R6X7_9STRA_73.fasta;29.66;998
augustus_D2VQK4_NAEGR_79.fasta;36.45;1627
augustus_I3KCZ4_ORENI_18.fasta;60.64;597
augustus_TRI32_MOUSE_19.fasta;86.72;655
augustus_T1L460_TETUR_21.fasta;94.12;187
augustus_A0A067R4F6_ZOONE_144.fasta;94.12;0
augustus_A0A158NS39_ATTCE_7.fasta;25.91;274
augustus_H3A6Z7_LATCH_7.fasta;78.86;596
augustus_T1KSQ0_TETUR_53.fasta;73.39;1041
augustus_H3G787_PHYRM_28.fasta;10.09;436
augustus_W2Q403_PHYPN_35.fasta;66.8;997
augustus_G4LW93_SCHMA_17.fasta;74.66;367
augustus_V6U1A3_GIAIN_38.fasta;27.62;1528
augustus_K3WA10_PYTUL_61.fasta;57.11;1140
augustus_W5JQZ5_ANODA_23.fasta;4.77;440
augustus_E1BHJ5_BOVIN_38.fasta;32.97;910
augustus_H9GG47_ANOCA_17.fasta;10.84;655
augustus_A8XGG2_CAEBR_107.fasta;66.56;978
augustus_A0A067R087_ZOONE_15.fasta;11.44;402
augustus_A4IIF7_XENTR_12.fasta;77.22;742
augustus_B3RR15_TRIAD_16.fasta;11.03;662
augustus_A0A024G196_9STRA_42.fasta;11.03;0
augustus_F0Y7H8_AURAN_16.fasta;14.96;802
augustus_A0A139A4E2_GONPR_102.fasta;12.88;1421
augustus_W2YQ45_PHYPR_71.fasta;43.78;900
augustus_F6TJ94_HORSE_41.fasta;48.78;781
augustus_A4IIF7_XENTR_14.fasta;77.22;742
augustus_W5LYF8_LEPOC_8.fasta;65.99;738
augustus_G1P887_MYOLU_9.fasta;87.29;299
