File;%_similarity;Len_prot
B4MV93_DROWI_3.fasta;13.97;587
G3VHQ8_SARHA_1.fasta;2.35;9315
A0A0N1PFT7_LEPSE_4.fasta;81.49;1124
G1LAF1_AILME_2.fasta;6.64;2363
H2ZFB3_CIOSA_1.fasta;8.02;374
W4XAU7_STRPU_2.fasta;8.31;5860
H3GVL7_PHYRM_2.fasta;14.32;901
F2U9J6_SALR5_4.fasta;7.03;740
W2Q7F5_PHYPN_3.fasta;7.57;1533
F6WBK6_CIOIN_3.fasta;3.58;5915
A0A0G4GYZ9_VITBC_7.fasta;9.23;943
F4PDD1_BATDJ_6.fasta;11.44;271
T1L0Y2_TETUR_1.fasta;11.13;764
BBS4_CAEEL_5.fasta;6.28;462
K1QT73_CRAGI_1.fasta;9.87;395
A7RRK9_NEMVE_2.fasta;11.51;808
K7F525_PELSI_3.fasta;5.59;2002
F0Y6H0_AURAN_3.fasta;15.84;783
D2UYR4_NAEGR_1.fasta;6.41;749
A2FQ75_TRIVA_1.fasta;9.11;757
A0A087YB91_POEFO_1.fasta;13.3;1602
F2UKV5_SALR5_2.fasta;11.73;1304
F7C228_XENTR_1.fasta;5.86;4621
A4HH17_LEIBR_2.fasta;3.63;1321
F2UP53_SALR5_5.fasta;12.79;727
A0A024TBC5_9STRA_4.fasta;6.97;674
F6V8F4_CIOIN_2.fasta;3.25;1570
A0A067BPT6_SAPPC_3.fasta;5.99;434
I3JZ61_ORENI_1.fasta;7.87;1487
B0W2W7_CULQU_5.fasta;15.54;875
T1J4V7_STRMM_3.fasta;13.36;262
B3RJ12_TRIAD_1.fasta;9.18;1024
F6Q0A8_MACMU_1.fasta;2.25;16953
H3GVL7_PHYRM_1.fasta;3.17;725
CH037_RAT_1.fasta;2.63;6154
I3KSH0_ORENI_2.fasta;15.13;674
E9HBN7_DAPPU_7.fasta;5.27;1177
Q28WS1_DROPS_3.fasta;8.87;631
T1IN54_STRMM_11.fasta;10.14;710
G3STK5_LOXAF_2.fasta;7.12;2627
H3F5B6_PRIPA_2.fasta;13.03;852
A8HYK1_CHLRE_5.fasta;13.03;591
A8HY05_CHLRE_2.fasta;3.16;2087
B8C2P1_THAPS_1.fasta;7.02;527
H3CFW0_TETNG_1.fasta;3.25;2276
D8RT29_SELML_5.fasta;5.52;543
A0A0W8CGX9_PHYNI_3.fasta;12.85;389
E9HLR1_DAPPU_3.fasta;4.01;1370
T1JMT6_STRMM_1.fasta;55.73;750
M3Y2I1_MUSPF_1.fasta;0.51;136746
I3NAS8_ICTTR_1.fasta;3.16;4020
F4PEA0_BATDJ_10.fasta;4.49;713
A0A061IYN2_TRYRA_1.fasta;87.88;899
A9UQE8_MONBE_6.fasta;4.25;1411
W5KI70_ASTMX_2.fasta;2.43;10850
D0MZ16_PHYIT_1.fasta;6.34;599
A8XCI7_CAEBR_1.fasta;5.03;2603
G1LHM7_AILME_2.fasta;7.17;1967
B4GR41_DROPE_2.fasta;30.06;845
A8Y3D5_CAEBR_2.fasta;14.75;3363
A0A067C4C7_SAPPC_3.fasta;7.43;713
B3RW68_TRIAD_2.fasta;10.54;1243
A8X9X0_CAEBR_6.fasta;3.96;480
M3ZTR9_XIPMA_1.fasta;1.83;30213
E1BR95_CHICK_2.fasta;8.82;1281
G3SS75_LOXAF_1.fasta;1.13;12524
A8XRG6_CAEBR_7.fasta;1.31;764
F1M285_RAT_1.fasta;0.78;55158
A0A067R087_ZOONE_2.fasta;8.21;1011
