BBS;Uniprot_ID;Specie_ID;Specie;Rank_1;Rank_2;Transcrit_ID;Gene_ID;Gene_length;%GC;Nbr_exon;Exon_length;Intron_length;Total_error;Err_Nter;Err_Interne;Err_Cter;Type;Repeats/Low_complexity;UDT;Protein_length;5' UTR;3' UTR
BBS4;BBS4_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000268057;ENSG00000140463;52297;40.76;16;154.2;3320.0;0;0;0;0;Confirmed;0;0;519;True;True
BBS16;SDCG8_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000366541;ENSG00000054282;244058;39.81;18;143.4;14204.1;0;0;0;0;Confirmed;0;0;713;True;True
BBS18;BBIP1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000423273;ENSG00000214413;20474;38.61;3;164.0;9250.5;0;0;0;0;Confirmed;0;0;92;True;True
BBS6;MKKS_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000347364;ENSG00000125863;33214;38.18;6;1119.0;5300.0;0;0;0;0;Confirmed;0;0;570;True;True
BBS2;BBS2_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000245157;ENSG00000125124;53252;40.14;17;161.4;2058.5;0;0;0;0;Confirmed;0;0;721;True;True
BBS7;BBS7_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000264499;ENSG00000138686;46058;35.62;19;197.5;2350.3;0;0;0;0;Confirmed;0;0;715;True;True
BBS5;BBS5_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000295240;ENSG00000163093;27176;40.21;12;263.2;2182.1;0;0;0;0;Confirmed;0;0;341;True;True
BBS8;TTC8_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000345383;ENSG00000165533;56926;36.61;16;145.6;3434.3;0;0;0;0;Confirmed;0;0;541;True;True
BBS12;BBS12_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000314218;ENSG00000181004;12241;39.69;2;1619.0;8998.0;0;0;0;0;Confirmed;0;0;710;True;True
BBS20;IFT74_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000380062;ENSG00000096872;115892;37.56;20;108.0;5494.6;0;0;0;0;Confirmed;0;0;600;True;True
BBS19;IFT27_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000340630;ENSG00000100360;18055;51.18;7;159.0;2806.5;0;0;0;0;Confirmed;0;0;186;True;True
BBS13;MKS1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000393119;ENSG00000011143;14169;47.46;18;133.2;674.8;0;0;0;0;Confirmed;0;0;559;True;True
BBS15;FRITZ_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000272321;ENSG00000143951;708285;37.72;18;271.9;27295.6;0;0;0;0;Confirmed;0;0;746;True;True
BBS9;PTHB1_HUMAN;HUMAN;Homo sapiens;Opisthokonta;Metazoa;ENST00000242067;ENSG00000122507;476825;38.88;23;175.1;21477.7;0;0;0;0;Confirmed;0;0;887;True;True
