Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar;1.0;0.485;0.653;2151;2286;0;0
LZTL1_PONAB.gar;0.684;0.14;0.232;2409;14786;0;1112
A0A0S4KLB5_BODSA.gar;0.975;0.5;0.661;538;538;14;14
BBS4_HUMAN.gar;0.987;0.047;0.09;2457;49800;0;33
B3DFT2_DANRE.gar;0.941;0.153;0.263;2550;14134;0;161
H3GA39_PHYRM.gar;0.0;0.0;0.0;0;0;1047;1047
A0A096P4T0_PAPAN.gar;1.0;0.155;0.268;2135;11597;0;0
C4V6M3_NOSCE.gar;1.0;0.5;0.667;627;627;0;0
B4MJU3_DROWI.gar;1.0;0.864;0.927;2892;455;0;0
W5PKU2_SHEEP.gar;0.43;0.254;0.319;3168;9315;0;4202
V9F4S6_PHYPR.gar;0.0;0.0;0.0;0;0;1978;1978
F6S5R5_HORSE.gar;1.0;0.028;0.054;1803;63303;0;0
A0A096MMY7_PAPAN.gar;1.0;0.073;0.136;1785;22822;0;0
A8WJB5_CAEBR.gar;1.0;0.902;0.948;888;96;0;0
A0A0M9GAT6_9TRYP.gar;1.0;0.5;0.667;2068;2068;1;1
G3T822_LOXAF.gar;1.0;0.014;0.028;582;41029;0;0
G7PUF5_MACFA.gar;1.0;0.177;0.301;2405;11152;0;0
A0A096NII1_PAPAN.gar;1.0;0.066;0.124;2166;30554;0;0
B3MGG0_DROAN.gar;0.937;0.839;0.885;838;161;0;56
G3WML8_SARHA.gar;1.0;0.5;0.667;1953;1953;0;0
A0A0G4EFJ8_VITBC.gar;0.298;1.0;0.459;259;0;562;611
G7PDY7_MACFA.gar;1.0;0.011;0.022;204;17993;1;0
E1BNU6_BOVIN.gar;1.0;0.224;0.366;1739;6031;0;0
W5NG86_LEPOC.gar;0.739;0.649;0.691;3527;1910;0;1247
B4GR41_DROPE.gar;1.0;0.911;0.953;1818;178;0;0
H2T0R0_TAKRU.gar;1.0;0.509;0.675;2151;2077;0;0
I3JZ61_ORENI.gar;0.984;0.122;0.217;2237;16126;109;36
A0A067BYM3_SAPPC.gar;0.0;0.0;0.0;0;0;223;773
BBS7_MOUSE.gar;0.982;0.063;0.118;2552;37648;1;47
H2QMZ4_PANTR.gar;0.832;0.034;0.065;1123;31780;631;227
G3STK5_LOXAF.gar;1.0;0.218;0.358;1710;6135;0;0
G1KRM1_ANOCA.gar;0.0;0.0;0.0;0;0;1335;189
V4BYG1_LOTGI.gar;1.0;0.061;0.115;1506;23125;0;0
A0A078A2X5_STYLE.gar;0.0;0.0;0.0;0;555;0;555
D0MSD3_PHYIT.gar;1.0;0.97;0.985;2330;71;0;0
H3G905_PHYRM.gar;0.08;1.0;0.148;122;0;86;1408
G1QXS8_NOMLE.gar;0.834;0.888;0.86;2986;375;0;595
G3NNG6_GASAC.gar;1.0;0.273;0.429;1029;2743;0;0
W5N3D2_LEPOC.gar;1.0;0.064;0.12;216;3147;0;0
F7E5E6_ORNAN.gar;1.0;0.5;0.667;2154;2154;0;0
W2YQ45_PHYPR.gar;0.041;1.0;0.079;55;0;67;1299
G3QMT8_GORGO.gar;0.945;0.045;0.086;2360;50197;0;137
H0WSU0_OTOGA.gar;1.0;0.036;0.069;571;15299;0;0
I3MMH3_ICTTR.gar;1.0;0.009;0.018;1968;206895;0;0
G3WMP3_SARHA.gar;0.781;0.041;0.078;2129;49708;0;596
G1R9L0_NOMLE.gar;0.896;0.174;0.291;2150;10223;22;250
A8JF99_CHLRE.gar;0.956;0.584;0.725;1498;1068;0;69
D0MT71_PHYIT.gar;0.994;0.956;0.975;1537;70;0;10
A0A090L5W0_STRRB.gar;1.0;0.981;0.99;2346;45;0;0
A0A061IYK7_TRYRA.gar;1.0;0.5;0.667;1131;1131;0;0
A0A0D9R0X9_CHLSB.gar;0.302;0.041;0.072;1500;35279;0;3461
U3KGN2_FICAL.gar;0.536;0.022;0.042;2160;95270;9882;1871
A4IBV8_LEIIN.gar;1.0;0.5;0.667;1782;1782;0;0
Q7PUL7_ANOGA.gar;1.0;0.952;0.975;1059;53;0;0
E1BTY2_CHICK.gar;1.0;0.447;0.618;3053;3782;0;0
B3RIN7_TRIAD.gar;1.0;0.153;0.265;624;3448;0;0
G1PTC0_MYOLU.gar;1.0;0.055;0.104;567;9717;0;0
W2ZMB5_PHYPR.gar;1.0;0.969;0.984;2247;73;0;0
H2QDI7_PANTR.gar;0.936;0.163;0.278;2250;11540;20;155
G3W4X1_SARHA.gar;1.0;0.306;0.469;1782;4038;0;0
