File;%_similarity;Len_prot
B4MV93_DROWI_3.fasta;11.35;617
G3VHQ8_SARHA_1.fasta;2.88;8651
A0A0N1PFT7_LEPSE_4.fasta;8.83;929
H2ZFB3_CIOSA_1.fasta;3.11;836
F2U9J6_SALR5_4.fasta;11.95;1665
W2Q7F5_PHYPN_3.fasta;17.07;615
F6WBK6_CIOIN_3.fasta;4.9;4145
T1L0Y2_TETUR_1.fasta;80.07;602
BBS4_CAEEL_5.fasta;4.97;463
K1QT73_CRAGI_1.fasta;6.58;441
A7RRK9_NEMVE_2.fasta;5.07;1144
K7F525_PELSI_3.fasta;8.3;1952
F0Y6H0_AURAN_3.fasta;14.68;838
A0A158NWD1_ATTCE_3.fasta;6.85;1504
D2UYR4_NAEGR_1.fasta;6.19;743
A2FQ75_TRIVA_1.fasta;13.88;605
A0A087YB91_POEFO_1.fasta;21.47;1649
F2UKV5_SALR5_2.fasta;3.08;778
F7C228_XENTR_1.fasta;6.64;3991
A4HH17_LEIBR_2.fasta;4.52;995
F6V8F4_CIOIN_2.fasta;4.5;1779
I3JZ61_ORENI_1.fasta;11.88;884
T0QH98_9STRA_4.fasta;9.11;637
B0W2W7_CULQU_5.fasta;9.53;976
T1J4V7_STRMM_3.fasta;9.86;426
B3RJ12_TRIAD_1.fasta;6.8;500
F6Q0A8_MACMU_1.fasta;2.31;16846
CH037_RAT_1.fasta;2.45;6209
I3KSH0_ORENI_2.fasta;15.64;652
G3STK5_LOXAF_2.fasta;7.09;2638
H3F5B6_PRIPA_2.fasta;10.72;1073
A8HY05_CHLRE_2.fasta;3.5;1888
B8C2P1_THAPS_1.fasta;8.37;1219
H3CFW0_TETNG_1.fasta;6.61;1573
D8RT29_SELML_5.fasta;1.96;1739
A0A0W8CGX9_PHYNI_3.fasta;7.73;543
E9HLR1_DAPPU_3.fasta;5.65;796
T1JMT6_STRMM_1.fasta;31.25;736
M3Y2I1_MUSPF_1.fasta;0.49;142157
I3NAS8_ICTTR_1.fasta;3.26;4020
A0A061IYN2_TRYRA_1.fasta;87.1;907
A9UQE8_MONBE_6.fasta;14.97;1770
W5KI70_ASTMX_2.fasta;8.18;2054
D0MZ16_PHYIT_1.fasta;13.69;628
A8XCI7_CAEBR_1.fasta;7.22;1968
G1LHM7_AILME_2.fasta;10.69;1226
B4GR41_DROPE_2.fasta;7.61;618
A8Y3D5_CAEBR_2.fasta;9.62;3429
B3RW68_TRIAD_2.fasta;11.09;1379
M3ZTR9_XIPMA_1.fasta;1.83;30218
E1BR95_CHICK_2.fasta;14.91;738
G3SS75_LOXAF_1.fasta;1.13;12529
F1M285_RAT_1.fasta;0.78;55158
A0A067R087_ZOONE_2.fasta;1.96;1994
F6PJY2_HORSE_1.fasta;4.38;4773
D0N9B8_PHYIT_5.fasta;7.99;551
I3MKN1_ICTTR_2.fasta;11.13;764
Q9VPP9_DROME_4.fasta;62.57;708
A0A0S4IWH2_BODSA_3.fasta;35.6;1497
A0A0W8CRE0_PHYNI_1.fasta;8.99;601
E2RG29_CANLF_3.fasta;13.68;687
G3SKE1_GORGO_2.fasta;6.2;2499
G1R2E6_NOMLE_2.fasta;2.66;5003
ARL6_CAEBR_3.fasta;24.46;368
D6WUJ1_TRICA_3.fasta;7.71;752
J9KWP6_ACYPI_1.fasta;19.2;1151
A0A0L0DRR9_THETB_4.fasta;11.78;883
G1LFS2_AILME_1.fasta;0.51;101304
W5PLE6_SHEEP_1.fasta;1.21;3458
F6UML6_ORNAN_1.fasta;8.04;3120
A0A0W8CFM7_PHYNI_2.fasta;98.86;352
V4BDA4_LOTGI_3.fasta;11.27;1304
Q9VPP9_DROME_1.fasta;15.16;607
H2YQF5_CIOSA_1.fasta;2.96;1688
B4IDB2_DROSE_3.fasta;13.52;1257
W2YN75_PHYPR_1.fasta;11.69;710
B4HPG5_DROSE_4.fasta;4.74;1181
H3DHP5_TETNG_2.fasta;16.25;831
F4NSL0_BATDJ_8.fasta;5.34;861
W5K9G7_ASTMX_3.fasta;13.1;1313
A4HN90_LEIBR_1.fasta;15.47;782
A0A0L0S2E7_ALLMA_2.fasta;9.63;519
W5JQZ5_ANODA_1.fasta;7.46;1260
A0A0N0VDQ8_9TRYP_3.fasta;13.39;717
E3MCR4_CAERE_3.fasta;22.61;376
A7S5W5_NEMVE_1.fasta;13.58;913
H3G905_PHYRM_3.fasta;18.54;658
A0A0M9GAT6_9TRYP_2.fasta;13.11;816
T1FZ41_HELRO_2.fasta;4.11;1192
