Filename;Sensibility;Specificity;F1_score;TP;FP;TN;FN
H3D688_TETNG.gar;1.0;0.485;0.653;2151;2286;0;0
LZTL1_PONAB.gar;0.689;0.141;0.234;2426;14786;0;1095
A0A0S4KLB5_BODSA.gar;0.0;0.0;0.0;0;552;0;552
BBS4_HUMAN.gar;0.99;0.047;0.09;2464;49800;0;26
B3DFT2_DANRE.gar;0.928;0.151;0.26;2516;14134;0;195
H3GA39_PHYRM.gar;0.0;0.0;0.0;0;1047;0;1047
A0A096P4T0_PAPAN.gar;0.975;0.154;0.266;2081;11455;142;54
C4V6M3_NOSCE.gar;1.0;0.5;0.667;627;627;0;0
B4MJU3_DROWI.gar;1.0;0.864;0.927;2892;455;0;0
W5PKU2_SHEEP.gar;0.432;0.255;0.321;3181;9315;0;4189
V9F4S6_PHYPR.gar;0.0;0.0;0.0;0;0;1978;1978
F6S5R5_HORSE.gar;1.0;0.028;0.054;1803;63303;0;0
A0A096MMY7_PAPAN.gar;1.0;0.073;0.136;1785;22822;0;0
A8WJB5_CAEBR.gar;1.0;0.902;0.948;888;96;0;0
A0A0M9GAT6_9TRYP.gar;0.94;0.5;0.653;1944;1944;125;125
G3T822_LOXAF.gar;1.0;0.014;0.028;582;41029;0;0
G7PUF5_MACFA.gar;1.0;0.177;0.301;2405;11152;0;0
A0A096NII1_PAPAN.gar;1.0;0.066;0.124;2166;30554;0;0
B3MGG0_DROAN.gar;0.942;0.839;0.888;842;161;0;52
G3WML8_SARHA.gar;1.0;0.5;0.667;1953;1953;0;0
A0A0G4EFJ8_VITBC.gar;0.429;0.84;0.568;373;71;491;497
G7PDY7_MACFA.gar;1.0;0.011;0.022;204;17994;0;0
E1BNU6_BOVIN.gar;1.0;0.224;0.366;1739;6031;0;0
W5NG86_LEPOC.gar;0.741;0.649;0.692;3536;1910;0;1238
B4GR41_DROPE.gar;1.0;0.911;0.953;1818;178;0;0
H2T0R0_TAKRU.gar;1.0;0.509;0.675;2151;2077;0;0
I3JZ61_ORENI.gar;0.982;0.122;0.217;2233;16136;99;40
A0A067BYM3_SAPPC.gar;0.0;0.0;0.0;0;223;0;773
BBS7_MOUSE.gar;1.0;0.065;0.122;2599;37649;0;0
H2QMZ4_PANTR.gar;0.832;0.034;0.065;1123;31796;615;227
G3STK5_LOXAF.gar;1.0;0.218;0.358;1710;6135;0;0
G1KRM1_ANOCA.gar;0.0;0.0;0.0;0;0;1335;189
V4BYG1_LOTGI.gar;1.0;0.061;0.115;1506;23125;0;0
A0A078A2X5_STYLE.gar;0.0;0.0;0.0;0;555;0;555
D0MSD3_PHYIT.gar;1.0;0.97;0.985;2330;71;0;0
H3G905_PHYRM.gar;0.048;1.0;0.092;73;0;86;1457
G1QXS8_NOMLE.gar;0.957;0.901;0.928;3428;375;0;153
G3NNG6_GASAC.gar;1.0;0.273;0.429;1029;2743;0;0
W5N3D2_LEPOC.gar;1.0;0.064;0.12;216;3147;0;0
F7E5E6_ORNAN.gar;1.0;0.5;0.667;2154;2154;0;0
W2YQ45_PHYPR.gar;0.0;0.0;0.0;0;0;67;1354
G3QMT8_GORGO.gar;0.95;0.045;0.086;2372;50197;0;125
H0WSU0_OTOGA.gar;1.0;0.036;0.069;571;15299;0;0
I3MMH3_ICTTR.gar;1.0;0.009;0.018;1968;206894;1;0
G3WMP3_SARHA.gar;0.79;0.042;0.08;2154;49708;0;571
G1R9L0_NOMLE.gar;0.97;0.185;0.311;2329;10245;0;71
A8JF99_CHLRE.gar;0.963;0.586;0.729;1509;1068;0;58
D0MT71_PHYIT.gar;1.0;0.957;0.978;1547;70;0;0
A0A090L5W0_STRRB.gar;1.0;0.981;0.99;2346;45;0;0
A0A061IYK7_TRYRA.gar;1.0;0.5;0.667;1131;1131;0;0
A0A0D9R0X9_CHLSB.gar;0.301;0.041;0.072;1495;35279;0;3466
U3KGN2_FICAL.gar;0.5;0.023;0.044;2015;84173;20979;2016
A4IBV8_LEIIN.gar;1.0;0.5;0.667;1782;1782;0;0
Q7PUL7_ANOGA.gar;1.0;0.952;0.975;1059;53;0;0
E1BTY2_CHICK.gar;1.0;0.447;0.618;3053;3782;0;0
B3RIN7_TRIAD.gar;1.0;0.153;0.265;624;3448;0;0
G1PTC0_MYOLU.gar;1.0;0.055;0.104;567;9717;0;0
W2ZMB5_PHYPR.gar;1.0;0.969;0.984;2247;73;0;0
H2QDI7_PANTR.gar;1.0;0.172;0.294;2405;11560;0;0
G3W4X1_SARHA.gar;1.0;0.306;0.469;1782;4038;0;0
G1PDK6_MYOLU.gar;1.0;0.224;0.366;1713;5943;0;0
K1P4M1_CRAGI.gar;1.0;0.113;0.203;1500;11817;0;0
F2TWK2_SALR5.gar;1.0;0.384;0.555;1737;2781;0;0
F7B2E3_MACMU.gar;1.0;0.083;0.153;891;9800;0;0
A0A096NE45_PAPAN.gar;1.0;0.5;0.667;1962;1962;0;0
F4PEA0_BATDJ.gar;0.969;0.594;0.737;1686;1152;9;54
U6LV11_9EIME.gar;1.0;0.486;0.654;609;644;0;0
B3MEQ1_DROAN.gar;0.617;0.375;0.466;1555;2595;1243;965
H0Y2B1_OTOGA.gar;1.0;0.5;0.667;1962;1962;0;0
G3WC39_SARHA.gar;1.0;0.5;0.667;2088;2088;0;0
A7SR08_NEMVE.gar;0.861;0.067;0.124;478;6629;1019;77
M3YBL1_MUSPF.gar;0.665;0.042;0.079;782;17813;0;394
F1Q6W8_DANRE.gar;0.999;0.159;0.274;2993;15775;0;4
W5P6M8_SHEEP.gar;0.734;0.036;0.069;766;20807;0;277
W5JIE3_ANODA.gar;0.938;0.573;0.711;1382;1030;66;91
Q9I7P3_DROME.gar;1.0;0.842;0.914;1228;231;0;0
BBS4_CAEEL.gar;1.0;0.529;0.692;1389;1235;0;0
A6QNT9_BOVIN.gar;1.0;0.5;0.667;2127;2127;0;0
A0A0D9RAF2_CHLSB.gar;1.0;0.01;0.02;2398;243094;0;0
G0NR21_CAEBE.gar;1.0;0.673;0.805;1881;914;0;0
A0A0D9RBM3_CHLSB.gar;0.993;0.043;0.082;5201;115240;0;35
E3LSA6_CAERE.gar;1.0;0.774;0.873;1389;405;0;0
B4MRQ8_DROWI.gar;1.0;0.767;0.868;600;182;0;0
F6QP01_XENTR.gar;0.139;0.003;0.006;297;95892;6000;1842
H2PQU8_PONAB.gar;0.605;0.025;0.048;690;27134;6000;450
Q5PR92_DANRE.gar;0.787;0.286;0.42;664;1661;0;180
T1FZD8_HELRO.gar;0.884;0.286;0.432;841;2103;472;110
J9I6R2_9SPIT.gar;0.0;0.0;0.0;0;1752;0;1752
T1JMT6_STRMM.gar;1.0;0.856;0.922;1767;297;0;0
F7FNJ0_MACMU.gar;0.908;0.013;0.026;3319;246479;190;335
G3SQS4_LOXAF.gar;1.0;0.143;0.25;1671;10012;0;0
E2RIJ8_CANLF.gar;1.0;0.125;0.222;2147;15064;0;0
E1BN34_BOVIN.gar;0.976;0.136;0.239;1942;12325;91;47
A0A0G4ITJ7_PLABS.gar;0.0;0.0;0.0;0;164;0;555
Q3SCX0_PARTE.gar;0.0;0.0;0.0;0;981;0;981
H2QX35_PANTR.gar;0.895;0.02;0.039;1936;97043;8698;226
H0XPD1_OTOGA.gar;1.0;0.093;0.17;1782;17318;0;0
K7FLU5_PELSI.gar;0.377;0.037;0.067;1242;32727;0;2054
A0A067C4C7_SAPPC.gar;0.0;0.0;0.0;0;884;0;1780
W4Z3R7_STRPU.gar;1.0;0.168;0.288;1109;5500;0;0
A0A0S4JJZ6_BODSA.gar;0.0;0.0;0.0;0;0;2157;2157
B4QJX6_DROSI.gar;1.0;0.881;0.937;2175;293;0;0
G5C8Q6_HETGA.gar;0.868;0.074;0.136;1234;15435;0;187
F1SP83_PIG.gar;0.988;0.046;0.088;3782;78407;2767;46
E2RG29_CANLF.gar;1.0;0.034;0.066;2742;78734;2;0
G1LIU7_AILME.gar;1.0;0.836;0.911;2178;426;0;0
B3RJT2_TRIAD.gar;1.0;0.357;0.526;1500;2705;0;0
M3YMG3_MUSPF.gar;0.949;0.068;0.127;1252;17095;0;67
G3RBR0_GORGO.gar;0.789;0.117;0.204;2642;19910;0;708
Q0VCP5_BOVIN.gar;1.0;0.268;0.423;3120;8535;0;0
H3CQC7_TETNG.gar;1.0;0.503;0.669;1886;1867;0;0
A0A0L0D1H0_THETB.gar;0.0;0.0;0.0;0;0;1848;1848
K2NW30_TRYCR.gar;0.001;0.5;0.002;3;3;2280;2280
A0A0G4IMV6_PLABS.gar;0.0;0.0;0.0;0;0;431;1296
W5P8L3_SHEEP.gar;1.0;0.009;0.018;2148;238947;2;0
ARL6_DANRE.gar;0.963;0.129;0.228;2284;15360;12349;88
A0A0L0S8P6_ALLMA.gar;0.0;0.0;0.0;0;0;401;718
W5Q7L6_SHEEP.gar;1.0;0.021;0.041;609;28858;0;0
M3YV76_MUSPF.gar;1.0;0.151;0.262;1680;9425;0;0
H2MJA1_ORYLA.gar;1.0;0.377;0.548;2157;3569;0;0
H2PS04_PONAB.gar;0.714;0.037;0.07;4337;111896;9291;1733
A0A096MWX4_PAPAN.gar;1.0;0.85;0.919;2157;382;0;0
A0A0N1PED7_LEPSE.gar;1.0;0.5;0.667;1473;1473;0;0
A0A0H5S235_BRUMA.gar;1.0;0.369;0.539;1743;2983;0;0
B0X8D9_CULQU.gar;1.0;0.949;0.974;1071;57;0;0
F6ZUB8_MACMU.gar;1.0;0.272;0.428;3721;9962;0;0
H2QXS4_PANTR.gar;1.0;0.5;0.667;3086;3086;0;0
G1LHM7_AILME.gar;1.0;0.055;0.104;2148;36959;0;0
K1PBA9_CRAGI.gar;1.0;0.5;0.667;567;567;0;0
A3QK09_DANRE.gar;0.866;0.082;0.15;1790;20112;6000;276
E3LTH5_CAERE.gar;0.999;0.732;0.845;1520;556;0;1
A0A067R100_ZOONE.gar;0.0;0.0;0.0;0;0;2582;579
A0A087Y1G8_POEFO.gar;1.0;0.343;0.511;5233;10043;0;0
A0A067RJQ2_ZOONE.gar;1.0;0.14;0.246;948;5837;0;0
A0A067RE41_ZOONE.gar;1.0;0.188;0.316;1422;6141;0;0
Q4DFM2_TRYCC.gar;0.0;0.0;0.0;0;1788;0;1788
F6QFV2_MONDO.gar;1.0;0.5;0.667;2118;2118;0;0
IFT74_MOUSE.gar;0.996;0.027;0.053;2130;76600;0;9
B4H6C3_DROPE.gar;1.0;0.509;0.675;1452;1399;0;0
F1SMI2_PIG.gar;1.0;0.5;0.667;1959;1959;0;0
T1J8I6_STRMM.gar;0.946;0.678;0.79;2101;997;0;121
G3QXK4_GORGO.gar;0.873;0.009;0.018;2268;252137;3085;331
W5K4L0_ASTMX.gar;0.39;0.119;0.182;1065;7899;281;1663
D6WSV9_TRICA.gar;1.0;0.875;0.933;2194;314;0;0
A0A067C533_SAPPC.gar;0.0;0.0;0.0;0;0;246;1336
A0A158NPL4_ATTCE.gar;1.0;0.966;0.983;1968;70;0;0
T1HX26_RHOPR.gar;0.997;0.348;0.516;2705;5071;0;9
Q4CTS4_TRYCC.gar;0.447;0.5;0.472;247;247;305;305
A2D7W2_TRIVA.gar;0.744;0.5;0.598;1165;1165;401;401
BBS12_HUMAN.gar;1.0;0.265;0.419;3244;8998;0;0
M3XU97_MUSPF.gar;0.532;0.014;0.027;562;38347;6000;494
H0UVR3_CAVPO.gar;1.0;0.052;0.099;2148;39477;0;0
G3TCL0_LOXAF.gar;1.0;0.5;0.667;1965;1965;0;0
B4GFI4_DROPE.gar;1.0;0.81;0.895;1149;270;0;0
BBS2_HUMAN.gar;0.923;0.077;0.142;2734;32936;0;229
H0WGM3_OTOGA.gar;1.0;0.027;0.053;558;20335;0;0
F6W3B7_ORNAN.gar;0.973;0.059;0.111;673;10742;0;19
M3YWA6_MUSPF.gar;1.0;0.009;0.018;2162;227061;0;0
A0A0M9G178_9TRYP.gar;1.0;0.5;0.667;669;669;0;0
K3WTZ6_PYTUL.gar;0.0;0.0;0.0;0;0;93;1281
F1SBK4_PIG.gar;0.973;0.167;0.285;2992;14871;0;83
A0A087YHA2_POEFO.gar;0.876;0.172;0.288;1801;8700;9107;255
F7AYF5_MONDO.gar;1.0;0.106;0.192;201;1693;0;0
A0A139WED1_TRICA.gar;0.383;0.63;0.476;1037;608;307;1674
B4LHK4_DROVI.gar;1.0;0.91;0.953;1848;183;0;0
I3KYV4_ORENI.gar;1.0;0.5;0.667;2043;2043;0;0
F1N4X0_BOVIN.gar;1.0;0.027;0.053;1589;57099;0;0
H2PE85_PONAB.gar;1.0;0.049;0.093;2172;42479;0;0
J9K271_ACYPI.gar;0.82;0.556;0.663;2615;2092;0;575
F6R3H8_XENTR.gar;0.839;0.201;0.324;457;1813;0;88
H3CW16_TETNG.gar;1.0;0.251;0.401;1581;4709;0;0
PTHB1_HUMAN.gar;0.843;0.007;0.014;3394;456135;16375;633
M3ZW06_XIPMA.gar;1.0;0.584;0.737;1777;1268;0;0
H2RJL3_TAKRU.gar;0.987;0.799;0.883;1681;423;0;23
S9UYL4_9TRYP.gar;1.0;0.5;0.667;1737;1737;0;0
